geohash,logradouro,numero,cep
6gkymg1mxvr,Rua José Júlio Tortato,271,81945-030
6gkymjpjqzf,Rua Ewerton Leinig Saporski,40,85583-004
6gkymjpnxcq,Rua Ewerton Leinig Saporski,40,85583-004
6gkymjqbcrh,Rua Palmyra Crivellaro Bertolde,813,87583-002
6gkymjqg27z,Rua Palmyra Crivellaro Bertolde,813,87583-002
6gkymq1zeq5,Rua Humberto Bertoldi,281,87499-002
6gkymq3c3er,Rua Humberto Bertoldi,281,87499-002
6gkymq65nh1,Rua Pia Lazzari Bertoldi,160,87483-001
6gkymq66gn7,Rua Pia Lazzari Bertoldi,160,87483-001
6gkyqnrf7k2,Rua Ângelo Gai,1600,81940-340
6gkyv2kgj35,Rua Catarina Odreski,41,81460-275
6gkyvubx904,Rua Pedro Gusso,2601,81310-900
6gkyvw9bbem,Rua João Bettega,4280,81350-900
6gkyvxywgwg,Rua João Bettega,3173,81350-000
6gkyvyppcb9,Rua Pedro Gusso,1330,81050-200
6gkyvzgh807,Condomínio Spazio Carlotte,538,81050-450
6gkyvzhgd4m,Rua Doutor Luíz Losso Filho,1081,81050-430
6gkyvznv6ye,Rua Theóphilo Mansur,691,81050-380
6gkywbh32gd,Rua Colomba Merlin,476,81935-560
6gkyxpg22ny,Rua David Towns,2350,81910-440
6gkyxr9njtr,Rua Jorge Simão,665,81850-240
6gkyxrqsh5y,Rua Eduardo Pinto da Rocha,542,81850-000
6gkyybe5xxd,Rua Professora Delminda Santos Fernandes,90,81910-200
6gkyyck8pxv,Rua Doutor Pedro Zavaski,1393,81825-000
6gkyycmt833,Rua Abrão Jak Duck,515,81830-310
6gkyyeyf4f1,Rua Omar Raymundo Picheth,999,81810-150
6gkyyfts2mf,Rua Tenente Antônio Pupo,527,81830-230
6gkyyhz3gr9,Rua Professor Waldir de Jesus,90,81130-110
6gkyyj4zhbj,Rua Francisco de Camargo Pinto,237,81130-290
6gkyyj6my51,Rua Frei Teófilo,730,81130-070
6gkyyjeg5m6,Rua José Zaleski,150,81130-060
6gkyyq12ub6,Rua Doutor Manoel Linhares de Lacerda,205,81110-100
6gkyyq86qhn,Largo Albino Vico,32,81130-005
6gkyysgs93p,Rua Hermenegildo Bonat,26,81810-280
6gkyysmgdse,Rua Professora Júlia Valery Legat Neal,138,81810-590
6gkyysz2f5n,Rua Dante Honório,503,81830-095
6gkyytd8f7n,Linha Verde,16758,81690-300
6gkyywtfe9n,Avenida Brasília,6900,81020-010
6gkyyxfgmfw,Rua Santa Maria,540,81030-410
6gkyyxu9d9y,Rua Professor Antônio Martins Franco,563,81030-400
6gkyyxue9c3,Rua Padre Manuel da Nóbrega,1575,81030-330
6gkyyy2j1xu,Rua Angelo Scaramusa,57,81810-440
6gkyz2ffdk3,Rua Francisco Ceccon,153,81770-120
6gkyz3wyb2q,Rua Maestro Carlos Frank,2600,81750-400
6gkyz44z5gc,Rua Abrão Winter,370,81830-280
6gkyz4kvfjt,Rua Francisco Derosso,3488,81830-285
6gkyz4sbvw7,Rua Francisco Derosso,3488,81830-285
6gkyz5bp8us,Rua Francisco Derosso,2340,81720-000
6gkyz8hg1xk,Rua Itaúna do Sul,330,81770-440
6gkyz9cxhbs,Rua Maestro Carlos Frank,2062,81750-400
6gkyz9xd48n,Rua Erton Coelho Queiroz,125,81770-340
6gkyzdwh3r7,Zonardi Ribas,750,81750-380
6gkyzdwyznf,Rua Zonardy Ribas,750,81750-380
6gkyztgb2jm,Rua Napoleão Laureano,791,81650-210
6gkyzum0sng,Rua William Booth,2487,81730-080
6gkyzwn7xk6,Rua Napoleão laureano,340,81650-210
6gkyzwxsjg3,Rua Antonio Schiebel,384,81650-220
