osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
326273,1200013,Q953086,Acrelândia,AC,1830.55,18,341
326269,1200054,Q1754403,Assis Brasil,AC,4982.68,6,13
326270,1200104,Q899406,Brasiléia,AC,3930.17,25,37
326259,1200138,Q1754408,Bujari,AC,3032.86,11,211
326268,1200179,Q1800737,Capixaba,AC,1705.97,25,310
326274,1200203,Q941136,Cruzeiro do Sul,AC,8808.11,49,206
326256,1200252,Q1755395,Epitaciolândia,AC,1668.61,17,146
326258,1200302,Q1994833,Feijó,AC,27976.17,27,199
326252,1200328,Q1800793,Jordão,AC,5362.02,0,76
326262,1200336,Q1772621,Mâncio Lima,AC,5366.47,9,122
326271,1200344,Q1772688,Manoel Urbano,AC,10707.59,7,15
326257,1200351,Q1772613,Marechal Thaumaturgo,AC,8173.67,0,30
326267,1200385,Q964075,Plácido de Castro,AC,1949.32,10,105
326264,1200393,Q1772588,Porto Walter,AC,6463.07,0,168
326253,1200401,Q171612,Rio Branco,AC,8841.57,278,626
326254,1200427,Q1800776,Rodrigues Alves,AC,3065.58,11,117
326272,1200435,Q1772719,Santa Rosa do Purus,AC,6097.06,0,9
326261,1200450,Q771763,Senador Guiomard,AC,2320.62,33,348
326263,1200500,Q1754389,Sena Madureira,AC,23777.48,26,196
326255,1200609,Q979910,Tarauacá,AC,20177.39,26,249
326260,1200708,Q1012531,Xapuri,AC,5352.71,14,218
326265,1200807,Q1772602,Porto Acre,AC,2612.39,8,11
