osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
303820,2700102,Q1808899,Água Branca,AL,450.58,23,1
303866,2700201,Q2028005,Anadia,AL,189.24,23,1
303810,2700300,Q626175,Arapiraca,AL,358.01,69,5
303816,2700409,Q928274,Atalaia,AL,528.85,62,2
303799,2700508,Q1795908,Barra de Santo Antônio,AL,139.54,44,0
303796,2700607,Q2027348,Barra de São Miguel,AL,77.62,42,0
303819,2700706,Q2028288,Batalha,AL,321.17,17,1
303824,2700805,Q2028301,Belém,AL,49.08,1,0
303786,2700904,Q1795566,Belo Monte,AL,332.8,1,0
303834,2701001,Q1772672,Boca da Mata,AL,186.07,25,2
303828,2701100,Q2021035,Branquinha,AL,165.71,8,0
303853,2701209,Q1808791,Cacimbinhas,AL,271.58,12,0
303859,2701308,Q2019063,Cajueiro,AL,123.79,22,1
303849,2701357,Q2028637,Campestre,AL,65.73,9,0
303808,2701407,Q2028275,Campo Alegre,AL,307.4,45,4
303836,2701506,Q1814259,Campo Grande,AL,166.55,11,0
303847,2701605,Q1796020,Canapi,AL,595.85,25,1
303837,2701704,Q1955261,Capela,AL,243.62,8,1
303856,2701803,Q1808880,Carneiros,AL,113.04,3,0
303795,2701902,Q2021044,Chã Preta,AL,173.06,1,0
303843,2702009,Q1816142,Coité do Nóia,AL,88.53,6,0
303813,2702108,Q1795581,Colônia Leopoldina,AL,208.86,3,1
303829,2702207,Q1816094,Coqueiro Seco,AL,39.25,8,0
303844,2702306,Q1796426,Coruripe,AL,914.26,78,2
303846,2702355,Q1795950,Craíbas,AL,270.15,7,1
303835,2702405,Q1808849,Delmiro Gouveia,AL,610.88,70,2
303831,2702504,Q988800,Dois Riachos,AL,140.01,4,0
303765,2702553,Q1795573,Estrela de Alagoas,AL,259.38,1,1
303821,2702603,Q520936,Feira Grande,AL,171.58,5,1
303864,2702702,Q649495,Feliz Deserto,AL,91.39,6,0
303807,2702801,Q1816177,Flexeiras,AL,331.02,18,0
303797,2702900,Q768122,Girau do Ponciano,AL,500.87,7,1
303845,2703007,Q2021130,Ibateguara,AL,265.94,7,1
303775,2703106,Q1808097,Igaci,AL,333.7,3,1
303769,2703205,Q594183,Igreja Nova,AL,429.4,12,1
303854,2703304,Q2021140,Inhapi,AL,380.24,13,1
303780,2703403,Q1816248,Jacaré dos Homens,AL,139.66,8,0
303801,2703502,Q1808734,Jacuípe,AL,210.34,10,0
303798,2703601,Q1808087,Japaratinga,AL,85.8,10,1
303773,2703700,Q1815918,Jaramataia,AL,105.33,15,0
303863,2703759,Q1808524,Jequiá da Praia,AL,338.28,28,0
303783,2703809,Q2027123,Joaquim Gomes,AL,278.39,6,1
303774,2703908,Q2020978,Jundiá,AL,91.96,11,0
303852,2704005,Q1808328,Junqueiro,AL,243.37,19,1
303789,2704104,Q1795976,Lagoa da Canoa,AL,88.1,1,1
303767,2704203,Q961349,Limoeiro de Anadia,AL,316.16,17,3
303815,2704302,Q168888,Maceió,AL,508.38,265,257
303794,2704401,Q1808271,Major Isidoro,AL,454.37,32,1
303809,2704500,Q971736,Maragogi,AL,334.85,5,4
303790,2704609,Q1814508,Maravilha,AL,310.96,29,1
303857,2704708,Q985275,Marechal Deodoro,AL,333.39,59,2
303825,2704807,Q2021217,Maribondo,AL,175.73,10,0
303778,2704906,Q2028214,Mar Vermelho,AL,92.6,2,0
303827,2705002,Q2027641,Mata Grande,AL,932.49,15,1
303860,2705101,Q2013614,Matriz de Camaragibe,AL,220.48,10,1
303804,2705200,Q2028160,Messias,AL,113.77,14,1
303832,2705309,Q767029,Minador do Negrão,AL,167.24,9,0
303766,2705408,Q2013634,Monteirópolis,AL,87.88,0,0
303817,2705507,Q1795628,Murici,AL,426.56,20,1
303793,2705606,Q1816167,Novo Lino,AL,232.33,44,0
303785,2705705,Q1815966,Olho d'Água das Flores,AL,184.63,22,1
303851,2705804,Q1808294,Olho d'Água do Casado,AL,319.6,6,0
303771,2705903,Q1795548,Olho d'Água Grande,AL,117.95,10,0
303777,2706000,Q950712,Olivença,AL,172.94,0,0
303833,2706109,Q2355814,Ouro Branco,AL,208.69,16,0
303823,2706208,Q511396,Palestina,AL,48.66,0,0
303782,2706307,Q948268,Palmeira dos Índios,AL,453.77,58,1
303802,2706406,Q2027100,Pão de Açúcar,AL,684.85,6,1
303848,2706422,Q1795935,Pariconha,AL,261.4,10,0
303811,2706448,Q1795979,Paripueira,AL,93.7,13,0
303842,2706505,Q1772652,Passo de Camaragibe,AL,266.04,46,0
303800,2706604,Q1800877,Paulo Jacinto,AL,116.92,7,0
303814,2706703,Q1772658,Penedo,AL,682.84,81,2
303812,2706802,Q1772595,Piaçabuçu,AL,246.87,26,1
303806,2706901,Q2013557,Pilar,AL,249.79,89,1
303791,2707008,Q1800867,Pindoba,AL,117.37,0,0
303865,2707107,Q1998967,Piranhas,AL,411.97,18,1
303770,2707206,Q1795960,Poço das Trincheiras,AL,290.49,22,0
303858,2707305,Q1772636,Porto Calvo,AL,309.38,29,1
303792,2707404,Q1796131,Porto de Pedras,AL,255.74,32,0
303803,2707503,Q1772685,Porto Real do Colégio,AL,234.24,37,1
303784,2707602,Q1772591,Quebrangulo,AL,319.4,25,1
303855,2707701,Q530211,Rio Largo,AL,307.01,111,3
303772,2707800,Q2015625,Roteiro,AL,127.15,20,0
303862,2707909,Q1816274,Santa Luzia do Norte,AL,28.76,11,0
303861,2708006,Q2021116,Santana do Ipanema,AL,437.36,20,2
303826,2708105,Q1808118,Santana do Mundaú,AL,224.19,18,0
303768,2708204,Q2021424,São Brás,AL,136.69,4,0
303838,2708303,Q1808170,São José da Laje,AL,254.78,17,1
303805,2708402,Q1808190,São José da Tapera,AL,494.9,23,1
303779,2708501,Q1808105,São Luís do Quitunde,AL,397.42,41,1
303788,2708600,Q1816037,São Miguel dos Campos,AL,362.03,70,1
303830,2708709,Q740975,São Miguel dos Milagres,AL,76.92,11,7
303867,2708808,Q2014339,São Sebastião,AL,314.33,50,1
303787,2708907,Q1795925,Satuba,AL,42.03,28,0
303776,2708956,Q1795898,Senador Rui Palmeira,AL,342.39,5,0
303822,2709004,Q1772722,Tanque d'Arca,AL,128.86,24,0
303818,2709103,Q1800641,Taquarana,AL,165.97,1,1
303850,2709152,Q1795888,Teotônio Vilela,AL,296.16,37,1
