osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
332499,1300029,Q1808573,Alvarães,AM,5909.97,0,67
332512,1300060,Q1772609,Amaturá,AM,4756.21,0,44
332497,1300086,Q974915,Anamã,AM,2452.03,0,42
332474,1300102,Q931090,Anori,AM,5793.6,0,52
332502,1300144,Q1112525,Apuí,AM,54213.6,20,70
332473,1300201,Q1793319,Atalaia do Norte,AM,76489.93,0,97
332503,1300300,Q1772695,Autazes,AM,7599.96,0,71
332478,1300409,Q807939,Barcelos,AM,122480.17,0,208
332522,1300508,Q1772565,Barreirinha,AM,5750.85,2,35
332518,1300607,Q1767926,Benjamin Constant,AM,8698.1,2,73
332513,1300631,Q584172,Beruri,AM,17251.15,7,31
332464,1300680,Q940548,Boa Vista do Ramos,AM,2586.85,0,9
332492,1300706,Q1793334,Boca do Acre,AM,21933.84,7,73
332495,1300805,Q2089660,Borba,AM,44246.82,1,40
332501,1300839,Q945469,Caapiranga,AM,9462.15,0,48
332480,1300904,Q1807050,Canutama,AM,33655.3,11,217
332496,1301001,Q1794236,Carauari,AM,25774.45,0,142
332515,1301100,Q1751325,Careiro,AM,6090.51,8,18
332462,1301159,Q1807045,Careiro da Várzea,AM,2628.68,6,13
332521,1301209,Q645204,Coari,AM,57921.07,21,656
332491,1301308,Q1762074,Codajás,AM,18711.97,0,116
332511,1301407,Q1646910,Eirunepé,AM,15011.75,0,135
332488,1301506,Q1750090,Envira,AM,7495.44,0,59
332510,1301605,Q1793768,Fonte Boa,AM,12113.02,0,94
332508,1301654,Q1808440,Guajará,AM,7579.85,0,45
332523,1301704,Q1025760,Humaitá,AM,33032.94,49,85
332520,1301803,Q1794374,Ipixuna,AM,12044.85,0,94
332514,1301852,Q1761947,Iranduba,AM,2213.76,41,351
332524,1301902,Q1750426,Itacoatiara,AM,8896.19,23,313
332519,1301951,Q1102558,Itamarati,AM,25294.06,0,67
332516,1302009,Q1808448,Itapiranga,AM,4230.79,7,90
332494,1302108,Q1757955,Japurá,AM,55733.18,0,55
332490,1302207,Q1008285,Juruá,AM,19395.1,0,84
332506,1302306,Q684641,Jutaí,AM,69554.4,0,108
332504,1302405,Q386631,Lábrea,AM,68238.71,7,269
332469,1302504,Q983526,Manacapuru,AM,7327.35,19,343
332467,1302553,Q1807976,Manaquiri,AM,3975.34,2,46
332493,1302603,Q40236,Manaus,AM,11404.37,897,8135
332463,1302702,Q43490,Manicoré,AM,48306.65,19,61
332479,1302801,Q1763270,Maraã,AM,16905.18,0,139
332475,1302900,Q1808581,Maués,AM,39972.73,8,78
332482,1303007,Q1793306,Nhamundá,AM,14067.41,0,89
332481,1303106,Q1772535,Nova Olinda do Norte,AM,5609.18,0,18
332468,1303205,Q1750332,Novo Airão,AM,37738.6,0,104
332465,1303304,Q1793549,Novo Aripuanã,AM,41188.08,10,55
332517,1303403,Q926713,Parintins,AM,5957.91,0,148
332509,1303502,Q1793494,Pauini,AM,41610.07,0,217
332498,1303536,Q655097,Presidente Figueiredo,AM,25473.72,59,419
332500,1303569,Q1793560,Rio Preto da Eva,AM,5810.25,9,284
332484,1303601,Q1754543,Santa Isabel do Rio Negro,AM,62853.27,0,264
332505,1303700,Q970224,Santo Antônio do Içá,AM,12376.9,0,63
332477,1303809,Q694840,São Gabriel da Cachoeira,AM,108622.66,22,697
332507,1303908,Q1794983,São Paulo de Olivença,AM,19703.91,0,77
332483,1303957,Q1793440,São Sebastião do Uatumã,AM,10729.71,0,54
332471,1304005,Q2089673,Silves,AM,3745.47,2,196
332466,1304062,Q22060342,Tabatinga,AM,3221.46,10,72
332485,1304104,Q1794336,Tapauá,AM,85499.05,5,158
332487,1304203,Q975545,Tefé,AM,23704.84,0,231
332486,1304237,Q1793355,Tonantins,AM,6430.69,0,67
332489,1304260,Q517607,Uarini,AM,10245.05,0,60
332470,1304302,Q1816370,Urucará,AM,27909.86,0,277
332472,1304401,Q1793833,Urucurituba,AM,2908.55,0,49
