osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
362174,2900108,Q1645077,Abaíra,BA,534.23,28,0
362190,2900207,Q1647789,Abaré,BA,1497.44,12,1
362207,2900306,Q1761962,Acajutiba,BA,180.11,5,1
362946,2900355,Q1762152,Adustina,BA,630.59,13,1
362256,2900405,Q1762459,Água Fria,BA,660.27,0,1
362289,2900504,Q1793641,Érico Cardoso,BA,700.53,2,0
362313,2900603,Q560381,Aiquara,BA,160.68,1,0
362337,2900702,Q22050101,Alagoinhas,BA,746.34,151,4
362361,2900801,Q22063205,Alcobaça,BA,1512.45,17,2
362393,2900900,Q1762121,Almadina,BA,251.04,2,0
362437,2901007,Q1648060,Amargosa,BA,456.33,19,1
362468,2901106,Q654725,Amélia Rodrigues,BA,174.36,11,1
362503,2901155,Q1762100,América Dourada,BA,829.79,5,1
362512,2901205,Q1772546,Anagé,BA,1485.35,4,1
362173,2901304,Q490022,Andaraí,BA,1853.75,19,0
362217,2901353,Q1796352,Andorinha,BA,1246.03,12,0
362264,2901403,Q1762342,Angical,BA,1535.86,4,1
362287,2901502,Q1761950,Anguera,BA,172.24,24,8
362239,2901601,Q22063195,Antas,BA,323.65,31,1
362346,2901700,Q1772510,Antônio Cardoso,BA,291.55,6,0
362299,2901809,Q1772563,Antônio Gonçalves,BA,312.09,20,0
362394,2901908,Q1762391,Aporá,BA,564.75,4,1
362353,2901957,Q1772630,Apuarema,BA,154.35,16,0
362498,2902005,Q1762365,Aracatu,BA,1506.66,31,0
362487,2902054,Q1762140,Araçás,BA,488.98,14,0
362543,2902104,Q22063188,Araci,BA,1554.95,17,1
362533,2902203,Q1762004,Aramari,BA,335.09,2,0
362189,2902252,Q1648079,Arataca,BA,370.87,1,0
362231,2902302,Q1762335,Aratuípe,BA,177.05,1,0
362183,2902401,Q513600,Aurelino Leal,BA,453.87,2,0
362332,2902500,Q1761984,Baianópolis,BA,3341.54,4,0
362244,2902609,Q1762467,Baixa Grande,BA,976.55,25,1
362257,2902658,Q1761992,Banzaê,BA,224.14,3,0
362370,2902708,Q2013948,Barra,BA,11438.23,19,0
362527,2902807,Q1795377,Barra da Estiva,BA,1360.87,48,1
362515,2902906,Q1761997,Barra do Choça,BA,738.41,25,1
362484,2903003,Q1761974,Barra do Mendes,BA,1475.56,13,0
362491,2903102,Q1761936,Barra do Rocha,BA,193.94,0,0
362843,2903201,Q1384520,Barreiras,BA,7866.88,205,30
362322,2903235,Q2028167,Barro Alto,BA,429.34,12,0
362338,2903276,Q1808142,Barrocas,BA,203.3,1,0
362300,2903300,Q1761886,Barro Preto,BA,120.59,0,0
362255,2903409,Q816112,Belmonte,BA,1984.94,23,1
362453,2903508,Q642874,Belo Campo,BA,751.92,1,1
362448,2903607,Q865464,Biritinga,BA,545.78,7,0
362382,2903706,Q1772514,Boa Nova,BA,870.7,10,1
362538,2903805,Q770067,Boa Vista do Tupim,BA,2816.7,1,1
362475,2903904,Q891727,Bom Jesus da Lapa,BA,4098.92,45,2
362259,2903953,Q1762021,Bom Jesus da Serra,BA,415.88,8,0
362290,2904001,Q1795278,Boninal,BA,906.45,3,1
362312,2904050,Q1808128,Bonito,BA,727.27,13,0
362344,2904100,Q1772521,Boquira,BA,1480.39,14,1
362156,2904209,Q1762094,Botuporã,BA,646.92,8,0
362142,2904308,Q1800651,Brejões,BA,480.11,5,0
362205,2904407,Q1761968,Brejolândia,BA,2505.85,12,1
362220,2904506,Q1762399,Brotas de Macaúbas,BA,2229.9,3,0
362504,2904605,Q1808298,Brumado,BA,2229.76,132,281
362518,2904704,Q1761955,Buerarema,BA,208.81,2,1
363253,2904753,Q1795342,Buritirama,BA,3953.47,0,1
362550,2904803,Q1648887,Caatiba,BA,498.86,2,0
362387,2904852,Q980565,Cabaceiras do Paraguaçu,BA,224.6,1,1
362439,2904902,Q985576,Cachoeira,BA,394.13,35,10
362446,2905008,Q1795313,Caculé,BA,610.76,32,3
362291,2905107,Q1946795,Caém,BA,500.47,10,0
362277,2905156,Q1762013,Caetanos,BA,774.56,11,0
362335,2905206,Q1795371,Caetité,BA,2590.39,155,775
362315,2905305,Q1808307,Cafarnaum,BA,667.22,5,1
362165,2905404,Q960632,Cairu,BA,460.86,0,5
362155,2905503,Q283971,Caldeirão Grande,BA,494.9,11,0
362222,2905602,Q1772542,Camacan,BA,631.43,4,1
362505,2905701,Q1136204,Camaçari,BA,796.99,335,34
362551,2905800,Q1795776,Camamu,BA,890.04,12,1
362517,2905909,Q1798839,Campo Alegre de Lourdes,BA,2777.6,7,1
362442,2906006,Q1808046,Campo Formoso,BA,7237.81,28,1
362451,2906105,Q1806851,Canápolis,BA,444.17,8,0
362314,2906204,Q674476,Canarana,BA,575.45,3,1
362333,2906303,Q1772515,Canavieiras,BA,1382.22,23,2
362247,2906402,Q1795769,Candeal,BA,455.96,1,0
362285,2906501,Q1762379,Candeias,BA,257.77,140,1
362262,2906600,Q1798833,Candiba,BA,419.17,11,0
362234,2906709,Q597716,Cândido Sales,BA,1565.47,40,1
362149,2906808,Q508999,Cansanção,BA,1336.93,21,1
362521,2906824,Q653656,Canudos,BA,3160.39,50,1
362545,2906857,Q961459,Capela do Alto Alegre,BA,648.34,1,0
362474,2906873,Q1795362,Capim Grosso,BA,378.87,43,3
362492,2906899,Q1800637,Caraíbas,BA,809.34,30,0
362354,2906907,Q985956,Caravelas,BA,2358.02,58,2
362371,2907004,Q1761958,Cardeal da Silva,BA,260.06,8,0
362392,2907103,Q985608,Carinhanha,BA,2692.39,25,1
362343,2907202,Q1795593,Casa Nova,BA,9675.85,26,1
362306,2907301,Q1764155,Castro Alves,BA,708.23,8,1
362305,2907400,Q747832,Catolândia,BA,646.04,0,0
362273,2907509,Q1762371,Catu,BA,414.84,17,1
362248,2907558,Q1795587,Caturama,BA,677.34,9,0
362218,2907608,Q2021433,Central,BA,602.77,23,1
362860,2907707,Q1796395,Chorrochó,BA,3021.08,34,0
362139,2907806,Q1761858,Cícero Dantas,BA,889.49,5,1
362542,2907905,Q1762353,Cipó,BA,128.81,9,1
362553,2908002,Q264690,Coaraci,BA,301.38,6,1
363198,2908101,Q2028150,Cocos,BA,10168.03,12,1
362458,2908200,Q1762474,Conceição da Feira,BA,162.14,22,1
362467,2908309,Q1772585,Conceição do Almeida,BA,285.85,8,1
362440,2908408,Q1772525,Conceição do Coité,BA,1070.89,58,1
362390,2908507,Q988781,Conceição do Jacuípe,BA,116.15,37,1
362372,2908606,Q1003399,Conde,BA,968.02,36,5
363064,2908705,Q596466,Condeúba,BA,1284.78,6,1
362457,2908804,Q1796433,Contendas do Sincorá,BA,1048.89,16,0
362463,2908903,Q1762086,Coração de Maria,BA,330.55,15,1
362438,2909000,Q1800634,Cordeiros,BA,530.43,4,0
362471,2909109,Q1645061,Coribe,BA,2541.03,7,0
362554,2909208,Q1772667,Coronel João Sá,BA,886.35,0,1
362929,2909307,Q1061205,Correntina,BA,11989.41,37,1
362317,2909406,Q1761906,Cotegipe,BA,4192.14,2,0
362301,2909505,Q1795391,Cravolândia,BA,162.7,2,0
362358,2909604,Q578451,Crisópolis,BA,603.58,3,1
362398,2909703,Q1761896,Cristópolis,BA,1044.13,8,0
362417,2909802,Q1648067,Cruz das Almas,BA,150.52,43,21
362445,2909901,Q677518,Curaçá,BA,6109.23,26,2
362464,2910008,Q776188,Dário Meira,BA,436.71,4,0
362483,2910057,Q1761912,Dias d'Ávila,BA,182.66,60,2
362494,2910107,Q963778,Dom Basílio,BA,689.23,23,0
362500,2910206,Q1761928,Dom Macedo Costa,BA,93.3,0,0
362516,2910305,Q1772552,Elísio Medrado,BA,194.93,3,0
363257,2910404,Q1795353,Encruzilhada,BA,1921.63,10,1
362182,2910503,Q1806968,Entre Rios,BA,1218.33,80,1
362164,2910602,Q1772504,Esplanada,BA,1297.96,67,1
362204,2910701,Q2013802,Euclides da Cunha,BA,2086.38,16,1
362213,2910727,Q1796277,Eunápolis,BA,1193.15,76,2
362214,2910750,Q1808436,Fátima,BA,357.39,0,1
362219,2910776,Q1762060,Feira da Mata,BA,1626.67,0,0
362294,2910800,Q194343,Feira de Santana,BA,1352.51,315,235
362310,2910859,Q2019006,Filadélfia,BA,567.19,5,1
362297,2910909,Q1761918,Firmino Alves,BA,160.07,8,0
362328,2911006,Q1761890,Floresta Azul,BA,290.48,14,0
362454,2911105,Q1762128,Formosa do Rio Preto,BA,16311.75,19,2
362436,2911204,Q727944,Gandu,BA,235.96,5,1
362447,2911253,Q1795321,Gavião,BA,383.92,4,3
362541,2911303,Q1795290,Gentio do Ouro,BA,3701.6,12,0
363220,2911402,Q632744,Glória,BA,1249.87,8,0
362509,2911501,Q1762146,Gongogi,BA,200.37,1,0
362514,2911600,Q1761869,Governador Mangabeira,BA,106.04,11,1
362520,2911659,Q1796414,Guajeru,BA,918.5,5,0
362502,2911709,Q786924,Guanambi,BA,1291.26,411,116
362191,2911808,Q1798829,Guaratinga,BA,2324.72,23,1
362199,2911857,Q2019055,Heliópolis,BA,335.83,4,0
362152,2911907,Q1762080,Iaçu,BA,2365.43,26,1
362141,2912004,Q1800654,Ibiassucê,BA,479.04,15,2
362342,2912103,Q741470,Ibicaraí,BA,213.99,0,1
362296,2912202,Q968962,Ibicoara,BA,813.52,10,1
362251,2912301,Q1795367,Ibicuí,BA,1176.69,3,1
362237,2912400,Q1798809,Ibipeba,BA,1414.06,9,1
362460,2912509,Q1800648,Ibipitanga,BA,957.82,2,0
362459,2912608,Q1772606,Ibiquera,BA,940.33,4,0
362356,2912707,Q1647812,Ibirapitanga,BA,439.36,3,1
362400,2912806,Q985979,Ibirapuã,BA,785.5,5,2
362420,2912905,Q1772538,Ibirataia,BA,228.58,1,1
362524,2913002,Q1798843,Ibitiara,BA,1850.13,21,1
362531,2913101,Q1795384,Ibititá,BA,625.77,1,1
362489,2913200,Q1761863,Ibotirama,BA,1736.91,21,1
362495,2913309,Q1795380,Ichu,BA,126.71,9,0
362501,2913408,Q1795332,Igaporã,BA,830.76,11,0
362194,2913457,Q1795302,Igrapiúna,BA,542.78,2,0
362233,2913507,Q1762385,Iguaí,BA,829.83,1,1
362159,2913606,Q373705,Ilhéus,BA,1854.5,138,12
362318,2913705,Q589992,Inhambupe,BA,1216.17,18,1
362339,2913804,Q605861,Ipecaetá,BA,389.75,1,1
362327,2913903,Q1625857,Ipiaú,BA,290.32,13,2
362292,2914000,Q2026825,Ipirá,BA,3076.52,51,1
362293,2914109,Q526769,Ipupiara,BA,1071.49,2,0
