osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
1831575,3200102,Q1793672,Afonso Cláudio,ES,950.95,103,15
1842988,3200136,Q1982827,Águia Branca,ES,454.45,25,3
1833461,3200169,Q652959,Água Doce do Norte,ES,474.45,21,0
1829622,3200201,Q1807909,Alegre,ES,772.01,54,14
1825376,3200300,Q596538,Alfredo Chaves,ES,615.79,40,3
1832493,3200359,Q973430,Alto Rio Novo,ES,227.61,5,0
1823480,3200409,Q2019024,Anchieta,ES,407.24,178,10
1828254,3200508,Q2021210,Apiacá,ES,194,16,4
1843539,3200607,Q1794219,Aracruz,ES,1424.14,295,26
1828251,3200706,Q648890,Atílio Vivacqua,ES,223.45,59,4
1831586,3200805,Q804041,Baixo Guandu,ES,917.07,39,3
1832495,3200904,Q1794183,Barra de São Francisco,ES,941.81,79,18
1837757,3201001,Q2089691,Boa Esperança,ES,428.45,16,7
1828257,3201100,Q1807022,Bom Jesus do Norte,ES,89.07,41,3
1831573,3201159,Q1982959,Brejetuba,ES,344.17,11,5
1828250,3201209,Q1439193,Cachoeiro de Itapemirim,ES,878.17,358,71
1825819,3201308,Q841222,Cariacica,ES,279.85,659,129
1840271,3201407,Q1794952,Castelo,ES,664.07,34,13
1838598,3201506,Q933380,Colatina,ES,1416.79,311,56
1834956,3201605,Q1998957,Conceição da Barra,ES,1190.37,64,3
1840788,3201704,Q1795227,Conceição do Castelo,ES,369.23,45,5
1828867,3201803,Q1807012,Divino de São Lourenço,ES,173.88,13,0
1840925,3201902,Q616475,Domingos Martins,ES,1228.76,128,10
1828866,3202009,Q993623,Dores do Rio Preto,ES,158.12,38,2
1833465,3202108,Q1794439,Ecoporanga,ES,2285.35,39,7
1842951,3202207,Q593133,Fundão,ES,288.73,160,72
1838530,3202256,Q1985082,Governador Lindenberg,ES,359.98,11,2
1828865,3202306,Q1807792,Guaçuí,ES,467.48,59,9
1823223,3202405,Q267439,Guarapari,ES,593.94,580,109
1830501,3202454,Q1795195,Ibatiba,ES,240.56,47,4
1842848,3202504,Q1807804,Ibiraçu,ES,201.26,90,0
1828868,3202553,Q1807726,Ibitirama,ES,329.87,26,1
1826741,3202603,Q595222,Iconha,ES,203.53,25,7
1829725,3202652,Q1807920,Irupi,ES,184.55,9,5
1842144,3202702,Q1793795,Itaguaçu,ES,531.5,19,5
1826751,3202801,Q1806710,Itapemirim,ES,561.81,125,6
1842157,3202900,Q1806714,Itarana,ES,298.76,18,4
1829623,3203007,Q1793709,Iúna,ES,460.38,69,12
1837214,3203056,Q668992,Jaguaré,ES,659.76,23,6
1829621,3203106,Q1806739,Jerônimo Monteiro,ES,161.98,41,4
1842888,3203130,Q1982819,João Neiva,ES,284.72,105,9
1831581,3203163,Q616506,Laranja da Terra,ES,458.37,33,2
1843541,3203205,Q1755402,Linhares,ES,3504.41,218,43
1832494,3203304,Q1806721,Mantenópolis,ES,321.42,3,1
1827270,3203320,Q1806661,Marataízes,ES,134.64,75,6
1826738,3203346,Q1806664,Marechal Floriano,ES,285.38,63,5
1838561,3203353,Q1806633,Marilândia,ES,309.03,22,3
1827273,3203403,Q1795062,Mimoso do Sul,ES,869.55,101,6
1833473,3203502,Q2013818,Montanha,ES,1098.96,35,7
1833466,3203601,Q339532,Mucurici,ES,540.2,13,3
1830502,3203700,Q1797483,Muniz Freire,ES,679.31,44,27
1828252,3203809,Q739272,Muqui,ES,327.49,48,7
1837772,3203908,Q734635,Nova Venécia,ES,1442.19,102,20
1832492,3204005,Q505326,Pancas,ES,890.57,39,7
1834404,3204054,Q549543,Pedro Canário,ES,433.66,43,5
1837756,3204104,Q2018987,Pinheiros,ES,973.13,17,9
1826739,3204203,Q1806645,Piúma,ES,74.15,35,7
1837247,3204252,Q1806678,Ponto Belo,ES,360.68,6,2
1827271,3204302,Q2021405,Presidente Kennedy,ES,584.29,27,5
1838488,3204351,Q1806671,Rio Bananal,ES,642.23,34,4
1828126,3204401,Q1994852,Rio Novo do Sul,ES,204.27,26,2
1842672,3204500,Q678885,Santa Leopoldina,ES,718.32,36,5
1842175,3204559,Q616486,Santa Maria de Jetibá,ES,735.56,46,4
1842745,3204609,Q2039418,Santa Teresa,ES,682.96,77,9
1838487,3204658,Q1806625,São Domingos do Norte,ES,298.71,39,1
1837825,3204708,Q1798735,São Gabriel da Palha,ES,434.9,14,12
1828258,3204807,Q1806727,São José do Calçado,ES,273.35,31,4
1834958,3204906,Q1763574,São Mateus,ES,2338.92,243,24
1841179,3204955,Q1806620,São Roque do Canaã,ES,342,9,3
1826737,3205002,Q927537,Serra,ES,551.7,735,75
1837215,3205010,Q1806732,Sooretama,ES,586.45,37,5
1828127,3205036,Q762224,Vargem Alta,ES,413.72,53,5
1840859,3205069,Q1806745,Venda Nova do Imigrante,ES,185.91,62,7
1825818,3205101,Q2020315,Viana,ES,312.33,174,21
1837770,3205150,Q505266,Vila Pavão,ES,433.26,6,1
1837218,3205176,Q1806653,Vila Valério,ES,470.09,74,2
1825815,3205200,Q334197,Vila Velha,ES,210.87,929,721
1825817,3205309,Q168376,Vitória,ES,98.46,891,541
