osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
334407,5200050,Q304652,Abadia de Goiás,GO,144.49,22,112
334468,5200100,Q304716,Abadiânia,GO,1043.41,66,386
334563,5200134,Q342682,Acreúna,GO,1567.55,73,428
334594,5200159,Q986273,Adelândia,GO,115.74,0,3
334459,5200175,Q249738,Água Fria de Goiás,GO,2029.32,14,224
334476,5200209,Q249765,Água Limpa,GO,455.64,14,45
334533,5200258,Q249830,Águas Lindas de Goiás,GO,186.44,114,205
334553,5200308,Q955680,Alexânia,GO,844.23,55,405
334593,5200506,Q988880,Aloândia,GO,121.31,10,38
334600,5200555,Q443489,Alto Horizonte,GO,503.86,5,18
334545,5200605,Q22060523,Alto Paraíso de Goiás,GO,2596.68,18,253
334429,5200803,Q1795219,Alvorada do Norte,GO,1261.31,4,138
334561,5200829,Q1793274,Amaralina,GO,1343.72,5,3
334534,5200852,Q467478,Americano do Brasil,GO,133.44,0,1
334609,5200902,Q474121,Amorinópolis,GO,408.11,8,23
334463,5201108,Q223422,Anápolis,GO,936.94,692,1168
334458,5201207,Q545263,Anhanguera,GO,55.91,0,1
334389,5201306,Q22067260,Anicuns,GO,980.8,50,308
334413,5201405,Q459711,Aparecida de Goiânia,GO,288.95,671,1071
334601,5201454,Q1795248,Aparecida do Rio Doce,GO,600,5,8
334549,5201504,Q22067258,Aporé,GO,2904.96,29,181
334455,5201603,Q626832,Araçu,GO,147.91,11,70
334509,5201702,Q22067256,Aragarças,GO,661.92,29,166
334471,5201801,Q625067,Aragoiânia,GO,218.88,32,1
334599,5202155,Q625267,Araguapaz,GO,2194.07,9,4
334510,5202353,Q642448,Arenópolis,GO,1071.73,10,159
334578,5202502,Q716209,Aruanã,GO,3046.66,11,159
334567,5202601,Q776258,Aurilândia,GO,558.85,18,37
334519,5202809,Q790382,Avelinópolis,GO,175.51,19,2
334475,5203104,Q805016,Baliza,GO,1789.35,9,405
334409,5203203,Q2155729,Barro Alto,GO,1090.35,78,457
334560,5203302,Q815101,Bela Vista de Goiás,GO,1253.57,71,263
334538,5203401,Q16827,Bom Jardim de Goiás,GO,1895.29,6,214
334576,5203500,Q891725,Bom Jesus de Goiás,GO,1403,37,529
334625,5203559,Q892385,Bonfinópolis,GO,123.25,16,15
334461,5203575,Q1806828,Bonópolis,GO,1630.64,9,6
334437,5203609,Q903009,Brazabrantes,GO,123.55,26,23
334530,5203807,Q780494,Britânia,GO,1457.45,19,174
334591,5203906,Q779122,Buriti Alegre,GO,893.06,11,252
334614,5203939,Q988876,Buriti de Goiás,GO,197.58,12,7
334412,5203962,Q1805679,Buritinópolis,GO,249.24,3,2
334424,5204003,Q988807,Cabeceiras,GO,1123.95,6,106
334575,5204102,Q988874,Cachoeira Alta,GO,1655.48,42,377
334552,5204201,Q732966,Cachoeira de Goiás,GO,417.11,4,2
334524,5204250,Q1008207,Cachoeira Dourada,GO,521.73,10,558
334428,5204300,Q1052080,Caçu,GO,2251.67,23,511
334427,5204409,Q1761543,Caiapônia,GO,8633.26,43,1329
334452,5204508,Q120708,Caldas Novas,GO,1596.92,311,991
334584,5204557,Q138500,Caldazinha,GO,250.73,4,5
334606,5204607,Q986240,Campestre de Goiás,GO,272.1,4,68
334465,5204656,Q2365292,Campinaçu,GO,1978.64,27,41
334399,5204706,Q1806886,Campinorte,GO,1067.94,48,247
334623,5204805,Q988803,Campo Alegre de Goiás,GO,2456.7,50,103
334615,5204854,Q989794,Campo Limpo de Goiás,GO,155.98,5,1
334441,5204904,Q991108,Campos Belos,GO,718.25,4,8
334492,5204953,Q928117,Campos Verdes,GO,442.51,5,6
334417,5205000,Q1805778,Carmo do Rio Verde,GO,418.84,6,60
334608,5205059,Q656748,Castelândia,GO,296.46,0,24
334518,5205109,Q35135,Catalão,GO,3823.8,86,767
334479,5205208,Q1008326,Caturaí,GO,201.27,13,2
334541,5205307,Q988763,Cavalcante,GO,6956.15,11,277
334562,5205406,Q2019995,Ceres,GO,214.58,112,27
334500,5205455,Q857569,Cezarina,GO,414.95,55,108
334433,5205471,Q935208,Chapadão do Céu,GO,2182.42,28,334
334408,5205497,Q988896,Cidade Ocidental,GO,389.81,26,199
334436,5205513,Q991134,Cocalzinho de Goiás,GO,1791.1,39,198
334521,5205521,Q1003417,Colinas do Sul,GO,1704.39,34,521
334622,5205703,Q985612,Córrego do Ouro,GO,455.35,11,3
334586,5205802,Q985975,Corumbá de Goiás,GO,1066.5,29,213
334426,5205901,Q985606,Corumbaíba,GO,1873.63,29,14
334440,5206206,Q1012541,Cristalina,GO,6154.66,92,621
334559,5206305,Q1003462,Cristianópolis,GO,225.74,22,107
334422,5206404,Q177030,Crixás,GO,4664.88,36,692
334473,5206503,Q934443,Cromínia,GO,364.07,22,4
334502,5206602,Q986238,Cumari,GO,569.19,27,158
334516,5206701,Q1806869,Damianópolis,GO,415.21,14,3
334550,5206800,Q986286,Damolândia,GO,82.79,10,11
334574,5206909,Q1008292,Davinópolis,GO,483.68,15,51
334611,5207105,Q1004912,Diorama,GO,687.65,2,28
334414,5207253,Q1793418,Doverlândia,GO,3219.51,7,115
334477,5207352,Q1793310,Edealina,GO,604.94,3,19
334540,5207402,Q1794351,Edéia,GO,1463.59,35,414
334621,5207501,Q940568,Estrela do Norte,GO,302.79,9,74
334434,5207535,Q988788,Faina,GO,1947.12,20,7
334401,5207600,Q986512,Fazenda Nova,GO,1290,19,94
334579,5207808,Q991093,Firminópolis,GO,424.03,10,286
334503,5207907,Q1806815,Flores de Goiás,GO,3700,13,242
334565,5208004,Q1003392,Formosa,GO,5807.33,262,293
334526,5208103,Q1805729,Formoso,GO,847.44,13,79
334438,5208152,Q301331,Gameleira de Goiás,GO,595.12,4,30
334497,5208301,Q986500,Divinópolis de Goiás,GO,829.82,0,2
334387,5208400,Q985611,Goianápolis,GO,159.83,30,215
334415,5208509,Q1003443,Goiandira,GO,566.01,19,113
334613,5208608,Q988771,Goianésia,GO,1548.86,387,539
334547,5208707,Q83189,Goiânia,GO,730.36,3036,4872
334566,5208806,Q281011,Goianira,GO,209.91,72,346
334378,5208905,Q427697,Goiás,GO,3107.94,84,109
334619,5209101,Q1797061,Goiatuba,GO,2475.08,116,627
334517,5209150,Q1003402,Gouvelândia,GO,826.63,21,109
334572,5209200,Q986256,Guapó,GO,518.28,19,129
334554,5209291,Q1806860,Guaraíta,GO,205,7,1
334610,5209408,Q767830,Guarani de Goiás,GO,1225.67,3,231
334432,5209457,Q1805800,Guarinos,GO,594.16,7,108
334411,5209606,Q986254,Heitoraí,GO,227.01,12,33
334380,5209705,Q988811,Hidrolândia,GO,941.8,42,270
334453,5209804,Q1793821,Hidrolina,GO,581.39,4,10
334568,5209903,Q1806877,Iaciara,GO,1551.27,22,373
334513,5209937,Q928499,Inaciolândia,GO,687.11,1,167
334529,5209952,Q1794347,Indiara,GO,957.74,44,129
334602,5210000,Q986245,Inhumas,GO,620.05,88,633
334420,5210109,Q985981,Ipameri,GO,4369.72,77,879
334431,5210158,Q609451,Ipiranga de Goiás,GO,240.68,2,51
334474,5210208,Q675142,Iporá,GO,1026.78,20,870
334447,5210307,Q985190,Israelândia,GO,574.96,23,59
334450,5210406,Q527149,Itaberaí,GO,1473.7,110,467
334535,5210562,Q986506,Itaguari,GO,135.42,25,11
334556,5210604,Q986266,Itaguaru,GO,240.93,9,2
334404,5210802,Q1008317,Itajá,GO,2094.45,27,6
334418,5210901,Q1806982,Itapaci,GO,955.16,28,386
334512,5211008,Q988783,Itapirapuã,GO,2041.79,14,151
334555,5211206,Q1806805,Itapuranga,GO,1279.13,22,159
334577,5211305,Q991089,Itarumã,GO,3431.65,5,513
334589,5211404,Q986279,Itauçu,GO,382.58,28,88
334603,5211503,Q193350,Itumbiara,GO,2465.55,211,1540
334400,5211602,Q986497,Ivolândia,GO,1268.42,12,127
334442,5211701,Q1793406,Jandaia,GO,864.97,45,62
334616,5211800,Q1022458,Jaraguá,GO,1845.78,124,383
334435,5211909,Q963195,Jataí,GO,7168.87,375,1483
334439,5212006,Q985968,Jaupaci,GO,523.44,7,75
334425,5212055,Q986249,Jesúpolis,GO,116.47,4,1
334419,5212105,Q301383,Joviânia,GO,451.49,36,198
334588,5212204,Q1008360,Jussara,GO,4095.34,26,315
334590,5212253,Q2099571,Lagoa Santa,GO,459.57,0,1
334543,5212303,Q383756,Leopoldo de Bulhões,GO,480.92,25,197
334525,5212501,Q956017,Luziânia,GO,3963.29,196,1152
334511,5212600,Q988890,Mairipotaba,GO,466.9,12,2
334421,5212709,Q1805683,Mambaí,GO,878.81,11,2
334394,5212808,Q1806816,Mara Rosa,GO,1685.88,24,155
334397,5212907,Q1806945,Marzagão,GO,224.88,32,37
334396,5212956,Q991105,Matrinchã,GO,1156.04,2,36
334595,5213004,Q1793262,Maurilândia,GO,392.05,28,306
334515,5213053,Q949279,Mimoso de Goiás,GO,1388.27,4,210
334489,5213087,Q1805694,Minaçu,GO,2855.64,39,843
2709162,5213103,Q1795244,Mineiros,GO,9599.24,105,1151
334548,5213400,Q986258,Moiporá,GO,456.69,9,287
334501,5213509,Q650174,Monte Alegre de Goiás,GO,3123.43,11,13
334384,5213707,Q1003396,Montes Claros de Goiás,GO,2900.25,20,11
334423,5213756,Q937082,Montividiu,GO,1878.23,21,411
334410,5213772,Q2077824,Montividiu do Norte,GO,1336.17,8,6
334585,5213806,Q1025767,Morrinhos,GO,2849.66,166,1394
334596,5213855,Q1806964,Morro Agudo de Goiás,GO,284.75,1,1
334607,5213905,Q1003407,Mossâmedes,GO,683,16,3
334528,5214002,Q1003419,Mozarlândia,GO,1732.23,4,31
334449,5214051,Q1003468,Mundo Novo,GO,2146.5,9,7
334472,5214101,Q1806898,Mutunópolis,GO,954.11,4,98
334402,5214408,Q988756,Nazário,GO,269.17,32,5
334388,5214507,Q986284,Nerópolis,GO,206.92,40,105
334617,5214606,Q1794378,Niquelândia,GO,9842.75,98,1270
334598,5214705,Q1806847,Nova América,GO,211.51,6,2
334597,5214804,Q1004916,Nova Aurora,GO,301.86,6,29
334527,5214838,Q549144,Nova Crixás,GO,7304.42,10,156
334564,5214861,Q1806952,Nova Glória,GO,411.17,31,148
334466,5214879,Q1806822,Nova Iguaçu de Goiás,GO,627.93,4,25
334446,5214903,Q1003412,Nova Roma,GO,2135.65,1,87
334456,5215009,Q1004221,Nova Veneza,GO,123.83,8,57
334454,5215207,Q985970,Novo Brasil,GO,652.45,4,4
334462,5215231,Q986754,Novo Gama,GO,192.82,13,189
334382,5215256,Q574738,Novo Planalto,GO,1246.82,10,162
334605,5215306,Q519154,Orizona,GO,1974.81,20,421
334624,5215405,Q917314,Ouro Verde de Goiás,GO,209.26,35,6
334618,5215504,Q1000437,Ouvidor,GO,411.49,15,102
334557,5215603,Q1003435,Padre Bernardo,GO,3138.32,65,966
334558,5215652,Q939413,Palestina de Goiás,GO,1313.85,1,234
334522,5215702,Q985972,Palmeiras de Goiás,GO,1541.19,95,568
334536,5215801,Q523566,Palmelo,GO,57.49,0,38
334531,5215900,Q1793286,Palminópolis,GO,387.86,35,10
334532,5216007,Q1004891,Panamá,GO,433.83,21,215
334451,5216304,Q1003452,Paranaiguara,GO,1152.9,6,119
334398,5216403,Q913766,Paraúna,GO,3787.38,59,63
334403,5216452,Q1805725,Perolândia,GO,1028.99,10,307
334395,5216809,Q991127,Petrolina de Goiás,GO,539.63,53,128
334604,5216908,Q1805760,Pilar de Goiás,GO,907.42,6,145
334583,5217104,Q985960,Piracanjuba,GO,2406.32,83,529
334580,5217203,Q1025769,Piranhas,GO,2047.08,23,240
334551,5217302,Q988797,Pirenópolis,GO,2196.91,105,118
334523,5217401,Q987688,Pires do Rio,GO,1077.29,41,256
334514,5217609,Q1004078,Planaltina,GO,2550.33,61,392
334393,5217708,Q509804,Pontalina,GO,1409.14,46,67
334448,5218003,Q1806864,Porangatu,GO,4818.27,145,990
334460,5218052,Q988893,Porteirão,GO,604.66,53,115
334457,5218102,Q1798727,Portelândia,GO,559.68,24,172
334499,5218300,Q2021419,Posse,GO,2012.1,28,216
334498,5218391,Q1003447,Professor Jamil,GO,345.83,17,343
334520,5218508,Q986268,Quirinópolis,GO,3779.13,130,844
334537,5218607,Q258992,Rialma,GO,267.29,32,205
334546,5218706,Q1805819,Rianápolis,GO,160.24,23,65
334544,5218789,Q285551,Rio Quente,GO,257.97,50,83
334592,5218805,Q942064,Rio Verde,GO,8376.64,167,2562
334587,5218904,Q1793260,Rubiataba,GO,749.16,37,52
334612,5219001,Q922031,Sanclerlândia,GO,508.39,21,4
334620,5219100,Q991113,Santa Bárbara de Goiás,GO,139.74,10,3
334405,5219209,Q988766,Santa Cruz de Goiás,GO,1110.09,3,195
334406,5219258,Q988792,Santa Fé de Goiás,GO,1164.93,15,89
334386,5219308,Q1795206,Santa Helena de Goiás,GO,1135.98,62,500
334392,5219357,Q2077884,Santa Isabel,GO,807.38,20,40
334390,5219407,Q961144,Santa Rita do Araguaia,GO,1361.1,4,204
334416,5219456,Q1805741,Santa Rita do Novo Destino,GO,957.33,8,180
334464,5219506,Q657646,Santa Rosa de Goiás,GO,167.16,2,1
334445,5219605,Q1806837,Santa Tereza de Goiás,GO,790.84,31,202
334485,5219704,Q1806809,Santa Terezinha de Goiás,GO,1206.69,30,11
334480,5219712,Q1805688,Santo Antônio da Barra,GO,449.17,16,146
334478,5219738,Q986282,Santo Antônio de Goiás,GO,132.98,8,14
334467,5219753,Q986751,Santo Antônio do Descoberto,GO,943.08,78,358
334573,5219803,Q1025764,São Domingos,GO,3285.61,17,463
334571,5219902,Q775601,São Francisco de Goiás,GO,414.03,34,111
334570,5220009,Q989515,São João d'Aliança,GO,3326.19,20,227
334569,5220058,Q1794344,São João da Paraúna,GO,287.41,15,92
