osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
332883,2100055,Q1763534,Açailândia,MA,5804.06,71,1
332900,2100105,Q532160,Afonso Cunha,MA,372.24,0,0
332936,2100154,Q2013406,Água Doce do Maranhão,MA,442.73,1,0
332985,2100204,Q939522,Alcântara,MA,1487.72,20,1
332823,2100303,Q2013348,Aldeias Altas,MA,1944.33,3,1
332830,2100402,Q2013259,Altamira do Maranhão,MA,724.46,0,0
332864,2100436,Q373783,Alto Alegre do Maranhão,MA,382.81,20,1
332962,2100477,Q2028638,Alto Alegre do Pindaré,MA,1931.55,11,2
332819,2100501,Q1812998,Alto Parnaíba,MA,11128.07,5,0
332774,2100550,Q2013296,Amapá do Maranhão,MA,502.3,1,0
332886,2100600,Q947834,Amarante do Maranhão,MA,7439.07,2,1
332973,2100709,Q2013314,Anajatuba,MA,999.92,6,2
332959,2100808,Q2013366,Anapurus,MA,609.4,4,0
332873,2100832,Q2013356,Apicum-Açu,MA,329.07,3,0
332834,2100873,Q2209464,Araguanã,MA,817.96,0,0
332920,2100907,Q2041199,Araioses,MA,1790.05,26,1
332945,2100956,Q2036277,Arame,MA,3007.5,0,1
332865,2101004,Q1813008,Arari,MA,1094.4,19,1
332803,2101103,Q630926,Axixá,MA,203.07,3,0
332958,2101202,Q1807313,Bacabal,MA,1675.91,39,2
332988,2101251,Q2068936,Bacabeira,MA,616.19,73,1
332907,2101301,Q2089681,Bacuri,MA,789.86,6,1
332935,2101350,Q640733,Bacurituba,MA,673.41,0,1
332875,2101400,Q1813001,Balsas,MA,13144.27,64,3
332932,2101509,Q591015,Barão de Grajaú,MA,2248.21,13,1
332984,2101608,Q1807301,Barra do Corda,MA,5203.4,21,1
332880,2101707,Q2040600,Barreirinhas,MA,3111.98,58,4
332872,2101731,Q2013308,Belágua,MA,497.25,0,0
332848,2101772,Q2013283,Bela Vista do Maranhão,MA,256.06,4,3
332827,2101806,Q2068847,Benedito Leite,MA,1783.48,1,0
332798,2101905,Q2068952,Bequimão,MA,768.86,12,1
332980,2101939,Q2008013,Bernardo do Mearim,MA,260.65,0,0
332974,2101970,Q2068253,Boa Vista do Gurupi,MA,403.29,0,0
332916,2102002,Q2279959,Bom Jardim,MA,6587.97,10,1
332942,2102036,Q2068303,Bom Jesus das Selvas,MA,2676.63,7,1
332966,2102077,Q2068928,Bom Lugar,MA,445.83,5,0
332972,2102101,Q659888,Brejo,MA,1073.2,19,1
332791,2102150,Q2068871,Brejo de Areia,MA,360.22,0,0
332779,2102200,Q2135872,Buriti,MA,1474.39,9,1
332867,2102309,Q2013234,Buriti Bravo,MA,1580.19,1,1
332852,2102325,Q2013248,Buriticupu,MA,2549.1,8,1
332888,2102358,Q2013324,Buritirana,MA,818.35,0,1
332951,2102374,Q2013274,Cachoeira Grande,MA,706.03,0,0
332956,2102408,Q934637,Cajapió,MA,906.84,0,0
332804,2102507,Q510992,Cajari,MA,661.2,0,1
332826,2102556,Q1122744,Campestre do Maranhão,MA,611.19,13,0
332981,2102606,Q2068838,Cândido Mendes,MA,1611.94,0,1
332943,2102705,Q2103724,Cantanhede,MA,772.29,10,1
332815,2102754,Q2068268,Capinzal do Norte,MA,590.39,1,0
332955,2102804,Q651807,Carolina,MA,6448.43,32,1
332842,2102903,Q2016480,Carutapera,MA,1223.11,18,1
332983,2103000,Q997107,Caxias,MA,5225.69,104,4
332878,2103109,Q2095187,Cedral,MA,287.61,2,0
332922,2103125,Q2068312,Central do Maranhão,MA,365.1,1,0
332845,2103158,Q2068246,Centro do Guilherme,MA,1074.21,0,0
332910,2103174,Q2013267,Centro Novo do Maranhão,MA,8289.45,0,1
332847,2103208,Q746060,Chapadinha,MA,3252.12,32,1
332786,2103257,Q924546,Cidelândia,MA,1464.55,11,0
332990,2103307,Q2013225,Codó,MA,4358.45,54,4
332979,2103406,Q2019296,Coelho Neto,MA,977.63,18,1
332929,2103505,Q369679,Colinas,MA,1980.28,14,1
332891,2103554,Q2012506,Conceição do Lago-Açu,MA,730.77,0,0
332856,2103604,Q967552,Coroatá,MA,2263.85,13,1
332838,2103703,Q1886395,Cururupu,MA,1197.66,3,1
332817,2103752,Q2105097,Davinópolis,MA,338.24,0,0
332776,2103802,Q1823871,Dom Pedro,MA,357.97,22,1
332773,2103901,Q646515,Duque Bacelar,MA,315.49,24,0
332820,2104008,Q2013171,Esperantinópolis,MA,482.54,0,1
332861,2104057,Q2068863,Estreito,MA,2718.57,49,1
332839,2104073,Q2068274,Feira Nova do Maranhão,MA,1474.83,0,0
332971,2104081,Q2068889,Fernando Falcão,MA,5098.86,2,0
332941,2104099,Q2068944,Formosa da Serra Negra,MA,3947.3,3,1
332809,2104107,Q2068880,Fortaleza dos Nogueiras,MA,1665.44,2,0
332802,2104206,Q2034097,Fortuna,MA,696.39,1,0
332899,2104305,Q939995,Godofredo Viana,MA,653.72,1,0
332885,2104404,Q14629944,Gonçalves Dias,MA,882.99,4,1
332876,2104503,Q2012522,Governador Archer,MA,447.03,0,0
332957,2104552,Q2012559,Governador Edison Lobão,MA,614.06,0,0
332772,2104602,Q2068814,Governador Eugênio Barros,MA,816.86,7,1
332780,2104628,Q432254,Governador Luiz Rocha,MA,373.02,0,0
332799,2104651,Q2068907,Governador Newton Bello,MA,1161.94,0,0
332828,2104677,Q2068296,Governador Nunes Freire,MA,1034.71,8,1
332837,2104701,Q2082297,Graça Aranha,MA,271.85,4,0
332843,2104800,Q2043418,Grajaú,MA,8837.69,36,4
332858,2104909,Q2101408,Guimarães,MA,595.89,1,0
332893,2105005,Q1814500,Humberto de Campos,MA,2132.31,16,1
332912,2105104,Q2068290,Icatu,MA,1448.22,3,1
332949,2105153,Q1832376,Igarapé do Meio,MA,369.13,13,0
332953,2105203,Q2068280,Igarapé Grande,MA,374.58,1,0
332989,2105302,Q504755,Imperatriz,MA,1366.58,125,7
332805,2105351,Q2068260,Itaipava do Grajaú,MA,1239.79,0,0
332816,2105401,Q2012733,Itapecuru Mirim,MA,1473.32,34,1
332895,2105427,Q2012566,Itinga do Maranhão,MA,3583.4,6,1
332890,2105450,Q2103541,Jatobá,MA,590.56,2,0
332889,2105476,Q781692,Jenipapo dos Vieiras,MA,1960.21,0,2
332919,2105500,Q1875142,João Lisboa,MA,635.35,6,1
332939,2105609,Q2068225,Joselândia,MA,681.06,6,1
332986,2105658,Q2068232,Junco do Maranhão,MA,561.41,3,0
332851,2105708,Q1008300,Lago da Pedra,MA,1239.16,18,1
332863,2105807,Q927111,Lago do Junco,MA,309.2,0,0
332835,2105906,Q2105837,Lago Verde,MA,628.26,6,1
332813,2105922,Q2012976,Lagoa do Mato,MA,1687.21,1,0
332811,2105948,Q305180,Lago dos Rodrigues,MA,179.35,0,0
332829,2105963,Q2012551,Lagoa Grande do Maranhão,MA,744.57,0,0
332987,2105989,Q930035,Lajeado Novo,MA,1047.18,0,0
332952,2106003,Q2068220,Lima Campos,MA,321.78,13,0
332887,2106102,Q2103736,Loreto,MA,3595.18,1,0
332857,2106201,Q2068240,Luís Domingues,MA,449.77,0,0
332860,2106300,Q2012532,Magalhães de Almeida,MA,432.48,3,0
332862,2106326,Q2064676,Maracaçumé,MA,628.91,1,1
332846,2106359,Q743349,Marajá do Sena,MA,1449.59,0,0
