osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
314663,3100104,Q582223,Abadia dos Dourados,MG,893.59,34,0
314752,3100203,Q1615444,Abaeté,MG,1814.06,68,1
314808,3100302,Q1749816,Abre Campo,MG,470.55,31,1
314830,3100401,Q1749743,Acaiaca,MG,100.81,21,0
314852,3100500,Q1791887,Açucena,MG,813.13,24,0
314970,3100609,Q2059260,Água Boa,MG,1318.74,27,1
314996,3100708,Q1756079,Água Comprida,MG,494.29,2,0
314972,3100807,Q691275,Aguanil,MG,232.31,48,0
315023,3100906,Q1756605,Águas Formosas,MG,816.9,26,1
315192,3101003,Q1756246,Águas Vermelhas,MG,1260.04,8,1
315202,3101102,Q1650790,Aimorés,MG,1348.74,58,1
315278,3101201,Q1749739,Aiuruoca,MG,649.69,19,1
315267,3101300,Q678420,Alagoa,MG,163.02,0,0
315351,3101409,Q986243,Albertina,MG,57.05,0,0
315404,3101508,Q1756032,Além Paraíba,MG,511.56,62,1
315442,3101607,Q1755151,Alfenas,MG,854.61,229,4
315418,3101631,Q614671,Alfredo Vasconcelos,MG,125.57,11,0
314588,3101706,Q979377,Almenara,MG,2292.01,43,1
314616,3101805,Q1792834,Alpercata,MG,166.13,0,0
314787,3101904,Q1757102,Alpinópolis,MG,452.41,44,1
314716,3102001,Q1756931,Alterosa,MG,361.77,25,9
314737,3102050,Q118945,Alto Caparaó,MG,104.55,0,1
314891,3102100,Q1757130,Alto Rio Doce,MG,519.83,14,1
314821,3102209,Q2007777,Alvarenga,MG,294.39,2,0
314946,3102308,Q370048,Alvinópolis,MG,599.92,18,1
314911,3102407,Q1756297,Alvorada de Minas,MG,375.33,3,1
314941,3102506,Q1793156,Amparo do Serra,MG,145.82,4,1
315087,3102605,Q1754887,Andradas,MG,469.01,116,1
315077,3102704,Q676007,Cachoeira de Pajeú,MG,674.9,23,0
315199,3102803,Q503236,Andrelândia,MG,1003.11,59,3
315168,3102852,Q1756210,Angelândia,MG,183.75,0,0
315163,3102902,Q1805349,Antônio Carlos,MG,529.69,27,0
315287,3103009,Q611911,Antônio Dias,MG,790.36,48,1
315274,3103108,Q1791977,Antônio Prado de Minas,MG,85.4,3,0
315256,3103207,Q1756217,Araçaí,MG,185.64,5,0
315433,3103306,Q968231,Aracitaba,MG,105.02,0,0
314720,3103405,Q1749750,Araçuaí,MG,2236.37,67,3
314597,3103504,Q1637522,Araguari,MG,2735.61,413,19
314582,3103603,Q1756387,Arantina,MG,89.9,7,0
314651,3103702,Q1749824,Araponga,MG,304.55,1,0
314674,3103751,Q1756964,Araporã,MG,295.17,44,2
314915,3103801,Q1793057,Arapuá,MG,171.87,12,0
314958,3103900,Q1756084,Araújos,MG,243.51,9,0
314838,3104007,Q586057,Araxá,MG,1163.81,370,4
314850,3104106,Q1756612,Arceburgo,MG,162.98,40,0
314893,3104205,Q1804949,Arcos,MG,508.02,77,4
315185,3104304,Q1756284,Areado,MG,281.78,65,4
315157,3104403,Q1792090,Argirita,MG,158.63,22,0
315247,3104452,Q1793027,Aricanduva,MG,242.93,2,0
315064,3104502,Q617058,Arinos,MG,5325.33,22,1
315366,3104601,Q1756260,Astolfo Dutra,MG,158.65,23,1
315288,3104700,Q922716,Ataléia,MG,1836.88,5,2
315311,3104809,Q1791783,Augusto de Lima,MG,1250.76,36,0
314765,3104908,Q947342,Baependi,MG,750.61,42,2
314751,3105004,Q1756922,Baldim,MG,555.07,23,0
314592,3105103,Q1756027,Bambuí,MG,1456.47,126,13
314949,3105202,Q1756019,Bandeira,MG,484.57,5,0
314978,3105301,Q1756203,Bandeira do Sul,MG,46.28,30,0
314917,3105400,Q770910,Barão de Cocais,MG,342.12,83,1
314939,3105509,Q1791836,Barão de Monte Alto,MG,198.28,4,0
314887,3105608,Q807311,Barbacena,MG,758.01,169,3
314822,3105707,Q425598,Barra Longa,MG,385.4,1,0
314836,3105905,Q1792962,Barroso,MG,81.89,43,4
315249,3106002,Q1793085,Bela Vista de Minas,MG,109.15,42,1
315188,3106101,Q1793075,Belmiro Braga,MG,391.33,12,1
368782,3106200,Q42800,Belo Horizonte,MG,331.26,3033,936
315103,3106309,Q816123,Belo Oriente,MG,335.35,70,1
315049,3106408,Q1756538,Belo Vale,MG,365.59,1,2
315007,3106507,Q1756010,Berilo,MG,585.45,1,0
315413,3106606,Q1756857,Bertópolis,MG,425.09,4,0
315394,3106655,Q1779991,Berizal,MG,492.03,1,0
368812,3106705,Q737644,Betim,MG,345.62,624,14
315309,3106804,Q950047,Bias Fortes,MG,283.45,4,0
315279,3106903,Q1792282,Bicas,MG,140.08,32,1
315266,3107000,Q1791946,Biquinhas,MG,457.63,3,0
314825,3107109,Q1805369,Boa Esperança,MG,877.85,180,134
314859,3107208,Q1756950,Bocaina de Minas,MG,503.36,1,1
314677,3107307,Q1756928,Bocaiúva,MG,3233.62,74,1
314732,3107406,Q891713,Bom Despacho,MG,1208.51,202,125
314795,3107505,Q1791774,Bom Jardim de Minas,MG,411.88,44,0
314767,3107604,Q1793211,Bom Jesus da Penha,MG,208.91,40,0
368781,3107703,Q1754959,Bom Jesus do Amparo,MG,195.26,48,0
