osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
334028,5000203,Q1796727,Água Clara,MS,7804.1,44,0
333978,5000252,Q2012238,Alcinópolis,MS,4397.56,33,0
333991,5000609,Q453479,Amambai,MS,4193.47,62,9
334013,5000708,Q22067433,Anastácio,MS,2950.61,59,5
334050,5000807,Q1806340,Anaurilândia,MS,3400.11,47,0
334047,5000856,Q1793031,Angélica,MS,1274.9,4,0
333994,5000906,Q22067430,Antônio João,MS,1149.23,6,0
334020,5001003,Q1797156,Aparecida do Taboado,MS,2753.6,78,1
334007,5001102,Q1792157,Aquidauana,MS,16969.06,50,6
334023,5001243,Q22067428,Aral Moreira,MS,1658.57,35,1
333986,5001508,Q2012476,Bandeirantes,MS,3115.56,19,0
334052,5001904,Q1805582,Bataguassu,MS,2417.16,71,1
334012,5002001,Q1796657,Batayporã,MS,1825.29,32,1
334011,5002100,Q1148023,Bela Vista,MS,4895.59,62,2
334019,5002159,Q966840,Bodoquena,MS,2505.19,16,0
334027,5002209,Q768535,Bonito,MS,4932.21,62,21
334005,5002308,Q1805829,Brasilândia,MS,5808.05,25,0
334036,5002407,Q279492,Caarapó,MS,2088.75,86,1
333980,5002605,Q1797146,Camapuã,MS,6224.17,26,1
334022,5002704,Q168929,Campo Grande,MS,8087.66,1669,535
334024,5002803,Q2289933,Caracol,MS,2940.65,22,0
334046,5002902,Q1806605,Cassilândia,MS,3644.57,48,1
334038,5002951,Q1805278,Chapadão do Sul,MS,3254.87,67,1
334021,5003108,Q2012367,Corguinho,MS,2638.79,12,0
333999,5003157,Q1806310,Coronel Sapucaia,MS,1027.15,4,1
2697064,5003207,Q271215,Corumbá,MS,64946.91,182,12
334016,5003256,Q1024894,Costa Rica,MS,4166.79,71,1
334029,5003306,Q1793013,Coxim,MS,6408.54,32,2
333996,5003454,Q1805488,Deodápolis,MS,831.7,44,2
334009,5003488,Q777024,Dois Irmãos do Buriti,MS,2342.56,36,0
334030,5003504,Q1805588,Douradina,MS,279.55,25,0
334017,5003702,Q651874,Dourados,MS,4088.95,374,5
333998,5003751,Q2019293,Eldorado,MS,1017.26,28,5
334003,5003801,Q597397,Fátima do Sul,MS,317.27,36,2
334015,5003900,Q2289863,Figueirão,MS,4881.85,56,0
334037,5004007,Q1806358,Glória de Dourados,MS,492.66,26,0
333979,5004106,Q1793002,Guia Lopes da Laguna,MS,1209.26,54,2
333983,5004304,Q431778,Iguatemi,MS,2945.98,29,23
334025,5004403,Q1805505,Inocência,MS,5782.36,46,0
333989,5004502,Q1805496,Itaporã,MS,1322.16,73,1
334041,5004601,Q1805021,Itaquiraí,MS,2058.72,40,1
334008,5004700,Q2011871,Ivinhema,MS,2006.73,33,1
334026,5004809,Q1805419,Japorã,MS,421.77,0,0
334031,5004908,Q1805001,Jaraguari,MS,2925.34,8,0
333992,5005004,Q927504,Jardim,MS,2197.98,45,2
334002,5005103,Q971568,Jateí,MS,1927.16,32,0
334004,5005152,Q991137,Juti,MS,1587.26,11,0
2697039,5005202,Q1798712,Ladário,MS,341.99,37,1
334033,5005251,Q384939,Laguna Carapã,MS,1738.73,14,0
334000,5005400,Q1792127,Maracaju,MS,5297.57,108,3
333988,5005608,Q519471,Miranda,MS,5479.21,46,6
333985,5005681,Q2289881,Mundo Novo,MS,482.09,46,2
333981,5005707,Q1793018,Naviraí,MS,3198.84,255,87
333982,5005806,Q1805437,Nioaque,MS,3926.05,47,1
334001,5006002,Q1806336,Nova Alvorada do Sul,MS,4014.78,30,5
334054,5006200,Q746291,Nova Andradina,MS,4775.53,82,7
333984,5006259,Q1805007,Novo Horizonte do Sul,MS,847.14,27,1
6626705,5006275,Q3910285,Paraíso das Águas,MS,5044.42,16,1
334049,5006309,Q925758,Paranaíba,MS,5400.46,75,3
334014,5006358,Q522494,Paranhos,MS,1315.49,7,1
333997,5006408,Q1804993,Pedro Gomes,MS,3652.86,3,0
334010,5006606,Q928094,Ponta Porã,MS,5324.63,185,8
333987,5006903,Q1792999,Porto Murtinho,MS,17743.43,21,1
334006,5007109,Q691658,Ribas do Rio Pardo,MS,17304.6,52,1
333993,5007208,Q1793219,Rio Brilhante,MS,3991.71,100,1
334053,5007307,Q2167306,Rio Negro,MS,1807.46,22,0
334018,5007406,Q1805638,Rio Verde de Mato Grosso,MS,8161.21,37,2
334032,5007505,Q2012023,Rochedo,MS,1564.08,14,0
334035,5007554,Q1806537,Santa Rita do Pardo,MS,6136.3,34,0
334034,5007695,Q1805031,São Gabriel do Oeste,MS,3865.85,20,1
333990,5007703,Q1794989,Sete Quedas,MS,831.9,1,1
333995,5007802,Q1806509,Selvíria,MS,3259.3,44,0
334042,5007901,Q1792185,Sidrolândia,MS,5283.71,59,1
334040,5007935,Q2022558,Sonora,MS,4062.52,23,0
334039,5007950,Q1805286,Tacuru,MS,1782.87,27,0
334048,5007976,Q2082853,Taquarussu,MS,1043.83,7,0
334045,5008008,Q1804982,Terenos,MS,2836.13,39,2
334044,5008305,Q22067368,Três Lagoas,MS,10193.11,208,4
334043,5008404,Q1793009,Vicentina,MS,309.42,19,0
