osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
333683,5100102,Q507567,Acorizal,MT,841.17,17,0
333693,5100201,Q1988205,Água Boa,MT,7483.5,56,2
333692,5100250,Q433574,Alta Floresta,MT,8971.2,10,2
333623,5100300,Q1806398,Alto Araguaia,MT,5542.92,53,0
333704,5100359,Q612610,Alto Boa Vista,MT,2241.32,0,0
333724,5100409,Q443458,Alto Garças,MT,3744.45,24,2
333632,5100508,Q676719,Alto Paraguai,MT,1847.93,8,0
333736,5100607,Q1805426,Alto Taquari,MT,1409.21,45,0
333723,5100805,Q2103560,Apiacás,MT,20361.4,3,0
333628,5101001,Q1792161,Araguaiana,MT,6410.31,4,0
333680,5101209,Q1806527,Araguainha,MT,687.44,1,1
333720,5101258,Q1806505,Araputanga,MT,1603.28,24,1
333619,5101308,Q1806305,Arenápolis,MT,414.47,12,0
333630,5101407,Q1805412,Aripuanã,MT,25089.46,23,1
333718,5101605,Q1806364,Barão de Melgaço,MT,11193.13,6,0
333638,5101704,Q1805676,Barra do Bugres,MT,6064.94,16,1
333659,5101803,Q577720,Barra do Garças,MT,9149.69,123,25
333634,5101852,Q2012959,Bom Jesus do Araguaia,MT,4276.11,7,1
333688,5101902,Q1806329,Brasnorte,MT,16014.88,32,0
333703,5102504,Q986526,Cáceres,MT,24329.5,80,3
333646,5102603,Q955067,Campinápolis,MT,5963.76,2,0
333696,5102637,Q1793164,Campo Novo do Parecis,MT,9428.12,35,2
333677,5102678,Q1891475,Campo Verde,MT,4795.47,74,3
333645,5102686,Q1805540,Campos de Júlio,MT,6772.95,13,0
333662,5102694,Q1805653,Canabrava do Norte,MT,3453.89,1,0
333639,5102702,Q519706,Canarana,MT,10881.54,32,0
333676,5102793,Q1806323,Carlinda,MT,2399.97,18,1
333708,5102850,Q749396,Castanheira,MT,3942.86,11,0
333644,5103007,Q986247,Chapada dos Guimarães,MT,6243.29,40,1
333678,5103056,Q2065373,Cláudia,MT,3857,4,1
333665,5103106,Q1793037,Cocalinho,MT,16528.95,8,0
333614,5103205,Q1805608,Colíder,MT,3106.03,10,1
333631,5103254,Q2065396,Colniza,MT,27930.99,1,1
333621,5103304,Q1221976,Comodoro,MT,21724.56,24,0
333717,5103353,Q1805601,Confresa,MT,5798.12,36,1
333670,5103361,Q2089624,Conquista D'Oeste,MT,2689.86,5,0
333625,5103379,Q2013031,Cotriguaçu,MT,9532,2,1
333734,5103403,Q170762,Cuiabá,MT,3501.25,987,38
333654,5103437,Q2066057,Curvelândia,MT,361.18,5,0
333674,5103452,Q1847425,Denise,MT,1300.6,4,0
333600,5103502,Q1259020,Diamantino,MT,8214.32,65,2
333695,5103601,Q528293,Dom Aquino,MT,2206.59,11,0
333735,5103700,Q930196,Feliz Natal,MT,11460.28,10,0
333598,5103809,Q2013037,Figueirópolis D'Oeste,MT,890.65,5,0
333669,5103858,Q1805569,Gaúcha do Norte,MT,16889.09,3,0
333661,5103908,Q548635,General Carneiro,MT,3796.11,6,0
333612,5103957,Q2012397,Glória D'Oeste,MT,850.05,4,0
