osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
185660,1500107,Q1615298,Abaetetuba,PA,1610.01,25,43
185560,1500131,Q942803,Abel Figueiredo,PA,613.03,3,0
185641,1500206,Q1804839,Acará,PA,4335.47,18,1
185616,1500305,Q389536,Afuá,PA,8368.31,0,1
185622,1500347,Q1804899,Água Azul do Norte,PA,7111.67,16,1
185674,1500404,Q2289869,Alenquer,PA,23648.04,4,1
185668,1500503,Q2342023,Almeirim,PA,72913,13,1
185554,1500602,Q434285,Altamira,PA,159525,39,4
185578,1500701,Q1804346,Anajás,PA,6916.07,0,1
185610,1500800,Q485887,Ananindeua,PA,189.41,268,11
185572,1500859,Q22060315,Anapu,PA,11894.97,19,1
90129,1500909,Q1804338,Augusto Corrêa,PA,1061.71,3,1
185553,1500958,Q2008798,Aurora do Pará,PA,1811.6,9,1
185570,1501006,Q790342,Aveiro,PA,17078.29,0,2
185636,1501105,Q1804902,Bagre,PA,4400.55,0,1
185671,1501204,Q804068,Baião,PA,3759.04,16,1
185658,1501253,Q1804877,Bannach,PA,2955.01,0,0
185661,1501303,Q2009595,Barcarena,PA,1301.5,41,2
185567,1501402,Q47593,Belém,PA,1084.59,993,202
185582,1501451,Q609824,Belterra,PA,4398.58,4,0
185571,1501501,Q1804361,Benevides,PA,188.94,35,2
185590,1501576,Q2130429,Bom Jesus do Tocantins,PA,2816.4,7,0
90139,1501600,Q2078868,Bonito,PA,587.68,7,0
90128,1501709,Q320487,Bragança,PA,2084.86,49,2
185604,1501725,Q2008779,Brasil Novo,PA,6365.02,6,1
185595,1501758,Q1975881,Brejo Grande do Araguaia,PA,1286.31,7,0
185672,1501782,Q2008139,Breu Branco,PA,3936.92,4,1
185663,1501808,Q1804770,Breves,PA,9567.6,4,1
185609,1501907,Q2009108,Bujaru,PA,1009.08,1,1
185645,1501956,Q947745,Cachoeira do Piriá,PA,2420.8,3,1
185614,1502004,Q1804813,Cachoeira do Arari,PA,3111.65,0,1
185644,1502103,Q1805206,Cametá,PA,3078.91,13,2
185626,1502152,Q2009474,Canaã dos Carajás,PA,3147.13,45,5
90136,1502202,Q1947031,Capanema,PA,614.48,47,2
2702845,1502301,Q955914,Capitão Poço,PA,2908.67,19,1
185664,1502400,Q984581,Castanhal,PA,1030.76,102,1
185548,1502509,Q1899080,Chaves,PA,13081.58,0,1
185598,1502608,Q2008619,Colares,PA,610.17,2,0
185643,1502707,Q1788037,Conceição do Araguaia,PA,5831.23,17,1
185673,1502756,Q2008125,Concórdia do Pará,PA,690.74,30,1
185615,1502764,Q2008271,Cumaru do Norte,PA,17074.85,0,1
185662,1502772,Q2008449,Curionópolis,PA,2371.44,3,4
185634,1502806,Q2011907,Curralinho,PA,3617.84,0,1
185607,1502855,Q2008226,Curuá,PA,1437.85,1,0
185576,1502905,Q1814514,Curuçá,PA,644.62,31,5
185640,1502939,Q2008541,Dom Eliseu,PA,5266.84,3,1
185565,1502954,Q2008261,Eldorado do Carajás,PA,2956.34,17,1
185656,1503002,Q2246005,Faro,PA,11778.88,0,1
185558,1503044,Q2008493,Floresta do Araguaia,PA,3444.33,0,1
185602,1503077,Q2008750,Garrafão do Norte,PA,1607.96,13,1
185650,1503093,Q2008317,Goianésia do Pará,PA,7021.01,21,1
185621,1503101,Q2011913,Gurupá,PA,8538.63,3,1
185585,1503200,Q2009058,Igarapé-Açu,PA,779.35,16,1
185630,1503309,Q651613,Igarapé-Miri,PA,1997.52,13,4
185666,1503408,Q1880531,Inhangapi,PA,470.32,1,0
185574,1503457,Q675175,Ipixuna do Pará,PA,5226.51,6,3
185563,1503507,Q2008410,Irituia,PA,1381.92,18,1
185625,1503606,Q655734,Itaituba,PA,62041.97,43,6
185601,1503705,Q2008167,Itupiranga,PA,7880.69,11,1
185577,1503754,Q1805252,Jacareacanga,PA,53312.63,12,1
185620,1503804,Q1967407,Jacundá,PA,2007.75,49,5
185618,1503903,Q1008242,Juruti,PA,8296.82,6,1
185657,1504000,Q2008564,Limoeiro do Ajuru,PA,1490.75,0,1
185589,1504059,Q2008401,Mãe do Rio,PA,469.49,7,1
185592,1504109,Q2008546,Magalhães Barata,PA,324.4,4,0
185659,1504208,Q509818,Marabá,PA,15127.8,190,7
185588,1504307,Q2089279,Maracanã,PA,832.48,2,1
185649,1504406,Q1990477,Marapanim,PA,779.78,12,1
185631,1504422,Q1805166,Marituba,PA,101.55,26,2
185581,1504455,Q2009048,Medicilândia,PA,8273.2,1,1
185584,1504505,Q2011923,Melgaço,PA,6771.21,0,1
185623,1504604,Q2008596,Mocajuba,PA,872.51,0,3
185561,1504703,Q2008213,Moju,PA,9098.09,17,1
3049385,1504752,Q22074332,Mojuí dos Campos,PA,4987.65,3,0
185593,1504802,Q2289897,Monte Alegre,PA,18154.28,18,1
185606,1504901,Q1804369,Muaná,PA,3763.65,4,1
185573,1504950,Q1121422,Nova Esperança do Piriá,PA,2809.96,5,1
185679,1504976,Q728098,Nova Ipixuna,PA,1563.65,1,0
2702846,1505007,Q2009430,Nova Timboteua,PA,492.7,32,0
185651,1505031,Q1787759,Novo Progresso,PA,38163.62,43,1
185647,1505064,Q769811,Novo Repartimento,PA,15399.38,19,1
185569,1505106,Q577167,Óbidos,PA,27939.91,4,6
185638,1505205,Q2008580,Oeiras do Pará,PA,3847.41,2,1
185652,1505304,Q2011919,Oriximiná,PA,107680.88,19,2
90140,1505403,Q1829502,Ourém,PA,562.46,9,1
185605,1505437,Q2008237,Ourilândia do Norte,PA,14412,25,1
185552,1505486,Q592117,Pacajá,PA,11827.61,16,1
185566,1505494,Q2009230,Palestina do Pará,PA,982.53,1,0
185667,1505502,Q935005,Paragominas,PA,19339.76,94,2
185575,1505536,Q1806100,Parauapebas,PA,6883.53,194,9
185608,1505551,Q2008624,Pau D'Arco,PA,1672.96,4,0
90135,1505601,Q2009222,Peixe-Boi,PA,449.96,10,0
185629,1505635,Q2008277,Piçarra,PA,3308.99,0,0
185676,1505650,Q602405,Placas,PA,7172.91,6,1
185678,1505700,Q1804377,Ponta de Pedras,PA,3348.2,2,1
185632,1505809,Q2089210,Portel,PA,25387.35,3,1
185654,1505908,Q2011894,Porto de Moz,PA,17406.77,3,1
185568,1506005,Q2009663,Prainha,PA,14801.12,0,1
90134,1506104,Q2329733,Primavera,PA,258.95,8,0
90132,1506112,Q2008521,Quatipuru,PA,281.87,3,0
185557,1506138,Q2381693,Redenção,PA,3822.29,42,1
185549,1506161,Q2008301,Rio Maria,PA,4113.59,47,1
185603,1506187,Q2008429,Rondon do Pará,PA,8247.47,9,1
185564,1506195,Q2009519,Rurópolis,PA,7021.71,23,2
185586,1506203,Q1008198,Salinópolis,PA,214.04,55,1
185583,1506302,Q1921992,Salvaterra,PA,1035.47,13,1
185551,1506351,Q2009202,Santa Bárbara do Pará,PA,276.75,10,0
185599,1506401,Q640618,Santa Cruz do Arari,PA,1081.11,0,0
185646,1506500,Q2008554,Santa Izabel do Pará,PA,715.2,82,2
185628,1506559,Q2008573,Santa Luzia do Pará,PA,1340.04,7,1
185600,1506583,Q2009212,Santa Maria das Barreiras,PA,10330.23,28,2
185580,1506609,Q1901157,Santa Maria do Pará,PA,458,33,1
185665,1506708,Q2008589,Santana do Araguaia,PA,11612.17,41,1
185639,1506807,Q659450,Santarém,PA,17887.22,127,9
185635,1506906,Q1811192,Santarém Novo,PA,233.83,0,0
185677,1507003,Q2009548,Santo Antônio do Tauá,PA,532.75,3,1
185613,1507102,Q632789,São Caetano de Odivelas,PA,742.39,3,1
185559,1507151,Q1841455,São Domingos do Araguaia,PA,1390.49,4,2
185624,1507201,Q955985,São Domingos do Capim,PA,1689.57,0,1
185669,1507300,Q1807317,São Félix do Xingu,PA,84191.55,21,2
185642,1507409,Q2008769,São Francisco do Pará,PA,482.46,6,0
185550,1507458,Q2008501,São Geraldo do Araguaia,PA,3168.56,14,1
185619,1507466,Q2008293,São João da Ponta,PA,194.57,7,0
185653,1507474,Q2008440,São João de Pirabas,PA,634.96,25,1
185555,1507508,Q2008417,São João do Araguaia,PA,1281.69,16,0
185611,1507607,Q2008532,São Miguel do Guamá,PA,1094.24,3,1
185591,1507706,Q1868533,São Sebastião da Boa Vista,PA,1631.47,0,1
185556,1507755,Q2289887,Sapucaia,PA,1298.11,4,0
185633,1507805,Q609027,Senador José Porfírio,PA,14425.29,2,0
185596,1507904,Q1016643,Soure,PA,3520.71,0,2
185612,1507953,Q2289846,Tailândia,PA,4430.25,4,2
185637,1507961,Q2289951,Terra Alta,PA,203.99,3,0
185597,1507979,Q2003795,Terra Santa,PA,1901.57,0,1
185655,1508001,Q1805230,Tomé-Açu,PA,5145.4,9,1
90131,1508035,Q2008789,Tracuateua,PA,852.03,4,1
185587,1508050,Q2009409,Trairão,PA,11985.07,5,1
185594,1508084,Q2445520,Tucumã,PA,2512.41,20,1
185562,1508100,Q374432,Tucuruí,PA,2088.39,66,3
185627,1508126,Q2008337,Ulianópolis,PA,5091.5,6,1
185670,1508159,Q2009083,Uruará,PA,10790.49,3,1
185648,1508209,Q1804913,Vigia,PA,540.22,8,2
90130,1508308,Q772569,Viseu,PA,4918.22,2,1
185675,1508357,Q2008512,Vitória do Xingu,PA,3088.27,10,2
185617,1508407,Q2008249,Xinguara,PA,3781.81,61,1
