osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
301429,2500106,Q1847056,Água Branca,PB,236.61,13,50
301434,2500205,Q1998462,Aguiar,PB,344.72,2,133
301311,2500304,Q1998976,Alagoa Grande,PB,320.2,22,39
301447,2500403,Q1816238,Alagoa Nova,PB,122.36,14,72
301306,2500502,Q2065239,Alagoinha,PB,97.16,9,3
301330,2500536,Q1816058,Alcantil,PB,306.08,6,217
301430,2500577,Q1759357,Algodão de Jandaíra,PB,220.87,0,87
301323,2500601,Q385529,Alhandra,PB,183.97,46,308
301348,2500700,Q728790,São João do Rio do Peixe,PB,473.23,32,225
301265,2500734,Q2010915,Amparo,PB,121.47,0,1
301271,2500775,Q2077855,Aparecida,PB,295.59,11,30
301364,2500809,Q374669,Araçagi,PB,230.7,6,47
301380,2500908,Q37378,Arara,PB,99.11,6,102
301427,2501005,Q2065337,Araruna,PB,245.93,1,41
301478,2501104,Q1816283,Areia,PB,269.53,16,210
301474,2501153,Q1800798,Areia de Baraúnas,PB,96.28,27,21
301353,2501203,Q963490,Areial,PB,33.13,10,6
301425,2501302,Q1808029,Aroeiras,PB,375.84,16,144
301400,2501351,Q1808674,Assunção,PB,127.84,11,18
301291,2501401,Q978537,Baía da Traição,PB,103.37,7,17
301418,2501500,Q525672,Bananeiras,PB,257.66,7,544
301346,2501534,Q2662559,Baraúna,PB,50.7,5,34
301475,2501575,Q1808715,Barra de Santana,PB,376.45,9,218
301341,2501609,Q1800788,Barra de Santa Rosa,PB,773.5,11,99
301391,2501708,Q2309706,Barra de São Miguel,PB,596.35,0,2
301421,2501807,Q2065978,Bayeux,PB,27.91,100,231
301342,2501906,Q792606,Belém,PB,100.37,17,55
301355,2502003,Q285051,Belém do Brejo do Cruz,PB,601.47,7,12
301375,2502052,Q1816080,Bernardino Batista,PB,50.56,0,2
301326,2502102,Q677612,Boa Ventura,PB,171.03,9,9
301450,2502151,Q2065971,Boa Vista,PB,476.38,22,153
301406,2502201,Q2066065,Bom Jesus,PB,52.5,12,50
6226469,2502300,Q2087575,Bom Sucesso,PB,184.23,9,47
301297,2502409,Q776733,Bonito de Santa Fé,PB,228.31,7,64
301431,2502508,Q1808935,Boqueirão,PB,372.56,14,53
301382,2502607,Q2010961,Igaracy,PB,192.62,9,4
301440,2502706,Q338286,Borborema,PB,25.91,6,3
301302,2502805,Q1808002,Brejo do Cruz,PB,399.52,29,91
301305,2502904,Q1808661,Brejo dos Santos,PB,93.72,7,28
301470,2503001,Q1816118,Caaporã,PB,149.45,28,123
301361,2503100,Q606068,Cabaceiras,PB,450.11,18,12
301292,2503209,Q986350,Cabedelo,PB,32.08,168,455
301415,2503308,Q1816046,Cachoeira dos Índios,PB,192.91,24,93
301260,2503407,Q1807989,Cacimba de Areia,PB,220.04,14,26
301357,2503506,Q1816227,Cacimba de Dentro,PB,163.67,11,5
301461,2503555,Q970131,Cacimbas,PB,126.93,0,16
301445,2503605,Q1816219,Caiçara,PB,127.93,8,27
301395,2503704,Q1808637,Cajazeiras,PB,564.26,81,414
301337,2503753,Q1808910,Cajazeirinhas,PB,289.07,2,160
301340,2503803,Q1808745,Caldas Brandão,PB,56.3,20,13
301428,2503902,Q1816125,Camalaú,PB,543.17,13,2
301462,2504009,Q193016,Campina Grande,PB,594.72,484,2345
301289,2504033,Q1808017,Capim,PB,78.83,8,3
301399,2504074,Q284134,Caraúbas,PB,497,9,11
301350,2504108,Q749757,Carrapateira,PB,54.66,3,3
301275,2504157,Q1816259,Casserengue,PB,200.99,0,2
301460,2504207,Q1816295,Catingueira,PB,529.03,9,79
301411,2504306,Q1808697,Catolé do Rocha,PB,551.35,49,472
301465,2504355,Q1815927,Caturité,PB,118.45,5,12
301299,2504405,Q2010944,Conceição,PB,579.44,24,57
301279,2504504,Q635267,Condado,PB,262.58,15,625
301285,2504603,Q1999780,Conde,PB,171.35,112,276
301276,2504702,Q2009615,Congo,PB,333.53,18,53
301366,2504801,Q1843416,Coremas,PB,378.26,11,461
301376,2504850,Q2009254,Coxixola,PB,169.88,0,18
301351,2504900,Q512810,Cruz do Espírito Santo,PB,195.68,81,87
301267,2505006,Q2009277,Cubati,PB,136.8,2,10
301390,2505105,Q2064364,Cuité,PB,740.12,22,142
301316,2505204,Q2011350,Cuitegi,PB,40.32,8,86
301454,2505238,Q977785,Cuité de Mamanguape,PB,108.17,5,5
301295,2505279,Q1808490,Curral de Cima,PB,85.33,4,183
301282,2505303,Q2010383,Curral Velho,PB,223.48,3,23
301328,2505352,Q663661,Damião,PB,186.54,4,102
301432,2505402,Q2009945,Desterro,PB,179.16,13,30
301321,2505501,Q2010563,Vista Serrana,PB,62.48,18,39
301412,2505600,Q644558,Diamante,PB,269.24,5,50
301424,2505709,Q1814531,Dona Inês,PB,167.17,4,120
301308,2505808,Q2006072,Duas Estradas,PB,26.25,8,3
301372,2505907,Q2040548,Emas,PB,240.72,7,9
301476,2506004,Q1816186,Esperança,PB,163.79,11,269
301266,2506103,Q2011192,Fagundes,PB,188.95,10,29
301336,2506202,Q2008657,Frei Martinho,PB,244.32,0,2
301261,2506251,Q674753,Gado Bravo,PB,193.88,0,35
301314,2506301,Q1827121,Guarabira,PB,165.14,72,79
301469,2506400,Q1991293,Gurinhém,PB,346.03,63,646
301442,2506509,Q1816212,Gurjão,PB,344.18,0,88
301472,2506608,Q2010365,Ibiara,PB,244.32,20,109
301398,2506707,Q2009933,Imaculada,PB,317.02,10,33
301339,2506806,Q929040,Ingá,PB,287.39,95,238
301420,2506905,Q2103719,Itabaiana,PB,219.28,93,197
301332,2507002,Q2079014,Itaporanga,PB,468.36,28,257
301468,2507101,Q734484,Itapororoca,PB,146.85,4,67
301278,2507200,Q2008704,Itatuba,PB,245.13,20,39
301413,2507309,Q2010372,Jacaraú,PB,252.89,7,110
301273,2507408,Q2065204,Jericó,PB,179.07,3,209
301405,2507507,Q167436,João Pessoa,PB,211.17,1389,4692
301403,2507606,Q2008677,Juarez Távora,PB,71.13,4,7
301392,2507705,Q1815979,Juazeirinho,PB,465.47,30,263
301272,2507804,Q2008715,Junco do Seridó,PB,170.69,17,99
301343,2507903,Q2008351,Juripiranga,PB,79.68,10,54
301331,2508000,Q1808550,Juru,PB,403.4,12,37
301387,2508109,Q1921322,Lagoa,PB,177.91,15,71
301259,2508208,Q2011329,Lagoa de Dentro,PB,84.55,11,337
301455,2508307,Q2010981,Lagoa Seca,PB,107.17,4,166
301435,2508406,Q2009351,Lastro,PB,103.06,8,9
301338,2508505,Q2065825,Livramento,PB,259.79,5,13
301365,2508554,Q2012226,Logradouro,PB,37.89,9,43
301404,2508604,Q2078997,Lucena,PB,89.16,22,36
301333,2508703,Q2010590,Mãe d'Água,PB,244.04,8,25
301313,2508802,Q2329682,Malta,PB,174.8,151,6072
301307,2508901,Q1008338,Mamanguape,PB,342.29,184,88
301453,2509008,Q2009309,Manaíra,PB,352.89,17,80
301298,2509057,Q2010733,Marcação,PB,123.87,3,12
301409,2509107,Q965785,Mari,PB,154.7,5,1
301389,2509156,Q777156,Marizópolis,PB,64.47,7,67
301401,2509206,Q2079004,Massaranduba,PB,206.4,24,35
301433,2509305,Q727109,Mataraca,PB,184.18,13,342
301456,2509339,Q2011935,Matinhas,PB,38.12,1,12
301294,2509370,Q2078731,Mato Grosso,PB,84.33,0,40
301480,2509396,Q2009368,Maturéia,PB,83.35,2,26
301451,2509404,Q764440,Mogeiro,PB,195.11,13,104
301367,2509503,Q1808648,Montadas,PB,30.54,6,8
301262,2509602,Q2010356,Monte Horebe,PB,116.21,1,39
301352,2509701,Q1808426,Monteiro,PB,987.51,67,148
301327,2509800,Q2341988,Mulungu,PB,194.9,23,58
301473,2509909,Q2008665,Natuba,PB,203.27,0,36
301290,2510006,Q2009331,Nazarezinho,PB,192.29,10,19
301344,2510105,Q521125,Nova Floresta,PB,46.9,4,27
301358,2510204,Q2048449,Nova Olinda,PB,84.4,0,5
301359,2510303,Q658619,Nova Palmeira,PB,310.35,1,98
301388,2510402,Q2009341,Olho d'Água,PB,597.05,6,36
301463,2510501,Q1816157,Olivedos,PB,319.23,4,4
301370,2510600,Q2008376,Ouro Velho,PB,129.7,8,2
301371,2510659,Q2103106,Parari,PB,128.99,2,1
301393,2510709,Q2104849,Passagem,PB,112.54,35,11
301459,2510808,Q1966384,Patos,PB,472.98,330,2930
301354,2510907,Q2081885,Paulista,PB,574.69,30,210
301394,2511004,Q2342000,Pedra Branca,PB,111.15,15,11
301257,2511103,Q2009239,Pedra Lavrada,PB,351.69,5,28
301396,2511202,Q2009248,Pedras de Fogo,PB,398.96,9,309
301347,2511301,Q2009920,Piancó,PB,566.23,11,165
301296,2511400,Q2008685,Picuí,PB,661.97,12,232
301416,2511509,Q731296,Pilar,PB,101.56,14,30
301457,2511608,Q2067408,Pilões,PB,64.83,6,222
301349,2511707,Q2011307,Pilõezinhos,PB,43.94,2,19
301443,2511806,Q1870026,Pirpirituba,PB,79.58,25,38
301426,2511905,Q2008741,Pitimbu,PB,136.74,65,91
301325,2512002,Q1816070,Pocinhos,PB,627.33,17,220
301287,2512036,Q734849,Poço Dantas,PB,97.18,0,40
301407,2512077,Q1829476,Poço de José de Moura,PB,100.97,7,3
301438,2512101,Q2078751,Pombal,PB,887.36,59,648
301315,2512200,Q2329634,Prata,PB,192.23,5,5
301441,2512309,Q2095104,Princesa Isabel,PB,367.66,16,67
301280,2512408,Q2011046,Puxinanã,PB,73.55,3,68
301436,2512507,Q782948,Queimadas,PB,400.21,19,568
301334,2512606,Q2077775,Quixaba,PB,156.19,16,25
301377,2512705,Q289067,Remígio,PB,177.99,20,399
301360,2512721,Q2064424,Pedro Régis,PB,73.34,3,13
301374,2512747,Q2329696,Riachão,PB,91.01,0,77
301368,2512754,Q2008384,Riachão do Bacamarte,PB,38.76,15,45
301319,2512762,Q969630,Riachão do Poço,PB,40.06,6,9
301356,2512788,Q2009287,Riacho de Santo Antônio,PB,90.91,0,12
301329,2512804,Q1897689,Riacho dos Cavalos,PB,264.5,19,8
301288,2512903,Q2085541,Rio Tinto,PB,465.48,26,359
301263,2513000,Q2065031,Salgadinho,PB,183.69,36,19
301258,2513109,Q2009391,Salgado de São Félix,PB,200.19,5,88
301281,2513158,Q2102814,Santa Cecília,PB,226.83,0,3
301444,2513208,Q2329762,Santa Cruz,PB,210.17,24,60
301309,2513307,Q2329779,Santa Helena,PB,208.56,8,15
301322,2513356,Q649347,Santa Inês,PB,324.42,4,3
301284,2513406,Q2329720,Santa Luzia,PB,455.52,32,215
301318,2513505,Q2010753,Santana de Mangueira,PB,401.89,5,382
301335,2513604,Q2009875,Santana dos Garrotes,PB,353.9,10,9
301378,2513653,Q2098422,Joca Claudino,PB,74.06,2,11
301397,2513703,Q1937304,Santa Rita,PB,727.5,385,864
301268,2513802,Q680275,Santa Teresinha,PB,357.72,5,61
301414,2513851,Q2078761,Santo André,PB,224.45,0,33
301317,2513901,Q767395,São Bento,PB,247.71,9,72
301417,2513927,Q2009398,São Bentinho,PB,196.69,17,87
301269,2513943,Q377255,São Domingos do Cariri,PB,220.21,17,3
301304,2513968,Q224967,São Domingos,PB,169.61,13,114
301270,2513984,Q375711,São Francisco,PB,95.12,4,4
301452,2514008,Q2008734,São João do Cariri,PB,654.43,24,186
301363,2514107,Q2009071,São João do Tigre,PB,815.79,8,12
301419,2514206,Q2009321,São José da Lagoa Tapada,PB,341.64,6,233
301369,2514305,Q2010404,São José de Caiana,PB,176.33,10,35
301381,2514404,Q2010579,São José de Espinharas,PB,724.92,14,215
301446,2514453,Q2009265,São José dos Ramos,PB,98.57,2,2
301277,2514503,Q2010773,São José de Piranhas,PB,677.4,21,192
301437,2514552,Q1808707,São José de Princesa,PB,158.11,1,12
301283,2514602,Q936607,São José do Bonfim,PB,134.32,14,109
301422,2514651,Q644127,São José do Brejo do Cruz,PB,253.99,0,2
301286,2514701,Q2008367,São José do Sabugi,PB,207.78,0,31
301324,2514800,Q2008760,São José dos Cordeiros,PB,418.56,0,12
301379,2514909,Q1999321,São Mamede,PB,530.65,24,146
301362,2515005,Q2008694,São Miguel de Taipu,PB,92.89,38,149
301345,2515104,Q2009298,São Sebastião de Lagoa de Roça,PB,49.92,5,41
301303,2515203,Q2008699,São Sebastião do Umbuzeiro,PB,460.65,4,2
301300,2515302,Q2008707,Sapé,PB,315.95,21,74
301386,2515401,Q2008358,São Vicente do Seridó,PB,275.87,3,2
301384,2515500,Q2009097,Serra Branca,PB,687.35,15,169
301274,2515609,Q1962737,Serra da Raiz,PB,29.09,6,9
301293,2515708,Q2010952,Serra Grande,PB,83.46,12,1
301402,2515807,Q1979460,Serra Redonda,PB,55.32,10,8
301320,2515906,Q2064614,Serraria,PB,65.41,2,55
301448,2515930,Q1973538,Sertãozinho,PB,32.63,5,19
301385,2515971,Q2078739,Sobrado,PB,61.84,23,24
301373,2516003,Q2010744,Solânea,PB,231.86,18,177
301467,2516102,Q2066120,Soledade,PB,560.54,25,193
301301,2516151,Q2010762,Sossêgo,PB,155.14,2,12
301410,2516201,Q2011653,Sousa,PB,737.47,143,610
301264,2516300,Q2008324,Sumé,PB,838.21,25,85
301310,2516409,Q1816133,Tacima,PB,246.04,10,36
301408,2516508,Q2329707,Taperoá,PB,662.73,14,23
301479,2516607,Q2099625,Tavares,PB,237.58,11,11
301423,2516706,Q1004229,Teixeira,PB,162.13,27,130
301466,2516755,Q1875004,Tenório,PB,105.43,8,22
301449,2516805,Q2097715,Triunfo,PB,220.1,12,28
301477,2516904,Q2010393,Uiraúna,PB,293.32,31,70
301458,2517001,Q1815057,Umbuzeiro,PB,180.79,19,5
301383,2517100,Q2065255,Várzea,PB,190.91,8,37
301439,2517209,Q2009892,Vieirópolis,PB,146.39,5,6
301312,2517407,Q1808686,Zabelê,PB,109.34,6,2
