osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
303627,2600054,Q536569,Abreu e Lima,PE,127.2,31,3
303749,2600104,Q1761348,Afogados da Ingazeira,PE,377.1,42,28
303647,2600203,Q2065815,Afrânio,PE,1490.63,5,1
303594,2600302,Q1787629,Agrestina,PE,200.1,11,1
303730,2600401,Q1804038,Água Preta,PE,535.83,6,1
303601,2600500,Q2013722,Águas Belas,PE,886.05,57,1
303674,2600609,Q938278,Alagoinha,PE,217.83,6,1
303655,2600708,Q2010570,Aliança,PE,273.45,46,1
303680,2600807,Q1844246,Altinho,PE,455.07,28,1
2696547,2600906,Q1839783,Amaraji,PE,235.25,4,2
303616,2601003,Q1987808,Angelim,PE,117.09,29,0
303613,2601052,Q2010873,Araçoiaba,PE,97.31,9,1
303714,2601102,Q626344,Araripina,PE,1892.53,62,1
303736,2601201,Q637902,Arcoverde,PE,350.75,38,4
303652,2601300,Q1811106,Barra de Guabiraba,PE,115.72,0,0
303632,2601409,Q2102404,Barreiros,PE,232.73,3,3
303741,2601508,Q746519,Belém de Maria,PE,74.1,5,0
303631,2601607,Q1811159,Belém do São Francisco,PE,1793.6,38,1
303599,2601706,Q949079,Belo Jardim,PE,647.09,72,5
303717,2601805,Q2065057,Betânia,PE,1243.63,6,0
303649,2601904,Q2011830,Bezerros,PE,490.97,61,34
303737,2602001,Q524487,Bodocó,PE,1620.28,13,1
303648,2602100,Q568749,Bom Conselho,PE,790.53,0,1
303757,2602209,Q2097751,Bom Jardim,PE,222.37,4,1
303640,2602308,Q2341964,Bonito,PE,395.45,10,1
303615,2602407,Q2065806,Brejão,PE,159.89,3,0
303686,2602506,Q682185,Brejinho,PE,105.94,9,0
303617,2602605,Q1807223,Brejo da Madre de Deus,PE,763.65,18,1
303685,2602704,Q2101554,Buenos Aires,PE,93.34,4,0
303604,2602803,Q1809636,Buíque,PE,1329.8,7,1
303752,2602902,Q1637538,Cabo de Santo Agostinho,PE,443.85,315,21
303608,2603009,Q2010855,Cabrobó,PE,1647.59,16,2
303754,2603108,Q2099535,Cachoeirinha,PE,180.33,6,1
303719,2603207,Q1008259,Caetés,PE,329.39,1,1
303738,2603306,Q2088907,Calçado,PE,122.51,12,0
303589,2603405,Q2010836,Calumbi,PE,178.72,3,0
303695,2603454,Q1761143,Camaragibe,PE,55.92,88,5
303644,2603504,Q1811052,Camocim de São Félix,PE,72.47,2,1
303663,2603603,Q1814461,Camutanga,PE,37.97,1,0
303676,2603702,Q2064820,Canhotinho,PE,423.79,30,1
303706,2603801,Q2064882,Capoeiras,PE,335.98,0,1
303734,2603900,Q2064956,Carnaíba,PE,426.44,21,1
303584,2603926,Q682035,Carnaubeira da Penha,PE,1000.37,0,0
303593,2604007,Q1993877,Carpina,PE,144.88,37,1
303670,2604106,Q622830,Caruaru,PE,922.18,213,14
303701,2604155,Q923741,Casinhas,PE,115.77,22,0
303607,2604205,Q2011032,Catende,PE,207.71,12,1
303724,2604304,Q716874,Cedro,PE,148.21,7,0
303746,2604403,Q1811142,Chã de Alegria,PE,48.64,2,0
303662,2604502,Q2010970,Chã Grande,PE,84.84,13,1
303668,2604601,Q507095,Condado,PE,89.99,8,1
303759,2604700,Q776802,Correntes,PE,328.52,6,1
303739,2604809,Q2064746,Cortês,PE,101.79,0,0
303636,2604908,Q2089188,Cumaru,PE,292.84,11,1
303641,2605004,Q1916653,Cupira,PE,106.04,2,1
303703,2605103,Q2013538,Custódia,PE,1404.02,26,1
303744,2605152,Q1811064,Dormentes,PE,1537.85,25,1
303590,2605202,Q2102479,Escada,PE,347.1,33,4
303710,2605301,Q2064727,Exu,PE,1337.94,10,1
303605,2605400,Q1869240,Feira Nova,PE,108.07,13,1
303650,2605459,Q175057,Fernando de Noronha,PE,18.04,14,15
303720,2605509,Q2078233,Ferreiros,PE,87.82,8,0
303681,2605608,Q2105990,Flores,PE,997.47,37,1
303704,2605707,Q2464842,Floresta,PE,3628.28,72,1
303721,2605806,Q2011848,Frei Miguelinho,PE,213.63,4,0
303713,2605905,Q2064836,Gameleira,PE,254.7,28,1
303628,2606002,Q771575,Garanhuns,PE,459.24,128,7
303732,2606101,Q1804101,Glória do Goitá,PE,230.81,9,1
303726,2606200,Q1767210,Goiana,PE,504.99,179,1
303639,2606309,Q2102421,Granito,PE,519.95,1,0
303597,2606408,Q535373,Gravatá,PE,506.9,104,1
303731,2606507,Q2011836,Iati,PE,636.32,1,1
303618,2606606,Q1804109,Ibimirim,PE,1906.88,10,2
303747,2606705,Q1849689,Ibirajuba,PE,188.9,2,0
303682,2606804,Q1787619,Igarassu,PE,307.37,67,6
303693,2606903,Q2010845,Iguaracy,PE,838,19,1
303579,2607000,Q2309727,Inajá,PE,1169.33,21,0
303753,2607109,Q2010935,Ingazeira,PE,243.2,13,0
303577,2607208,Q1796462,Ipojuca,PE,532.04,239,12
303675,2607307,Q743369,Ipubi,PE,860,11,1
303619,2607406,Q1804119,Itacuruba,PE,416.71,5,0
303756,2607505,Q2011784,Itaíba,PE,1063.41,20,1
303716,2607604,Q587114,Ilha de Itamaracá,PE,67.53,29,2
303576,2607653,Q2433604,Itambé,PE,305.02,13,1
303660,2607703,Q2010880,Itapetim,PE,404.63,22,0
303677,2607752,Q1804093,Itapissuma,PE,73.23,28,3
303661,2607802,Q2010908,Itaquitinga,PE,103.04,2,1
303709,2607901,Q271393,Jaboatão dos Guararapes,PE,257.35,447,33
303653,2607950,Q2011203,Jaqueira,PE,87.27,10,0
303758,2608008,Q2064753,Jataúba,PE,714.32,4,1
303664,2608057,Q2472554,Jatobá,PE,282.22,14,0
303625,2608107,Q786899,João Alfredo,PE,134.18,5,4
303586,2608206,Q1401082,Joaquim Nabuco,PE,121.87,13,1
303673,2608255,Q1852062,Jucati,PE,120.51,2,0
303651,2608305,Q2013547,Jupi,PE,105.64,8,0
303690,2608404,Q2104639,Jurema,PE,149.79,0,1
303692,2608453,Q2010890,Lagoa do Carro,PE,69.21,0,1
303696,2608503,Q1887813,Lagoa de Itaenga,PE,57.64,4,1
303743,2608602,Q2013643,Lagoa do Ouro,PE,200.37,7,0
