osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
302709,2200053,Q2066143,Acauã,PI,1280.39,0,3
302845,2200103,Q1936312,Agricolândia,PI,111.78,7,3
302769,2200202,Q578114,Água Branca,PI,96.38,8,1
302669,2200251,Q2064226,Alagoinha do Piauí,PI,533.24,4,14
302852,2200277,Q633346,Alegrete do Piauí,PI,282.23,0,52
302804,2200301,Q636564,Alto Longá,PI,1743.56,11,8
302774,2200400,Q1940492,Altos,PI,956.83,24,384
302725,2200459,Q1940535,Alvorada do Gurguéia,PI,2129.71,5,584
302826,2200509,Q2094729,Amarante,PI,1154.69,1,15
302863,2200608,Q1892127,Angical do Piauí,PI,221.33,10,8
302719,2200707,Q1938748,Anísio de Abreu,PI,337.7,8,5
302758,2200806,Q2064181,Antônio Almeida,PI,643.51,1,4
302815,2200905,Q1940548,Aroazes,PI,822.1,1,5
302678,2200954,Q2095297,Aroeiras do Itaim,PI,256.57,7,31
302658,2201002,Q2064170,Arraial,PI,683.39,1,5
302685,2201051,Q2078771,Assunção do Piauí,PI,1691.3,0,9
302667,2201101,Q1809642,Avelino Lopes,PI,1305.63,1,4
302841,2201150,Q2049334,Baixa Grande do Ribeiro,PI,7808.9,3,77
302668,2201176,Q1938757,Barra D'Alcântara,PI,264.09,0,12
302767,2201200,Q808836,Barras,PI,1718.12,36,60
302724,2201309,Q618000,Barreiras do Piauí,PI,2030.84,0,27
302756,2201408,Q2064159,Barro Duro,PI,129.61,3,2
302711,2201507,Q2012017,Batalha,PI,1592.43,12,228
302742,2201556,Q378812,Bela Vista do Piauí,PI,501.82,5,120
302828,2201572,Q1811039,Belém do Piauí,PI,242.86,3,10
302808,2201606,Q1981008,Beneditinos,PI,790.25,6,1
302849,2201705,Q769524,Bertolínia,PI,1227.43,12,267
302778,2201739,Q2064331,Betânia do Piauí,PI,564.41,3,55
302715,2201770,Q1838960,Boa Hora,PI,337.94,4,1
302831,2201804,Q2097681,Bocaina,PI,269.42,2,17
302689,2201903,Q891715,Bom Jesus,PI,5468.86,8,477
302729,2201919,Q2063977,Bom Princípio do Piauí,PI,520.34,3,61
302716,2201929,Q2089257,Bonfim do Piauí,PI,289.39,8,5
302833,2201945,Q2078789,Boqueirão do Piauí,PI,278.17,7,13
302643,2201960,Q2329749,Brasileira,PI,880.59,12,382
302737,2201988,Q2089172,Brejo do Piauí,PI,2183.34,2,399
302861,2202000,Q2064004,Buriti dos Lopes,PI,691.56,25,345
302865,2202026,Q1999799,Buriti dos Montes,PI,2650.48,8,19
302721,2202059,Q1938976,Cabeceiras do Piauí,PI,608.43,9,98
302703,2202075,Q2064526,Cajazeiras do Piauí,PI,514.13,11,8
302712,2202083,Q2064154,Cajueiro da Praia,PI,271.93,19,50
302843,2202091,Q2064592,Caldeirão Grande do Piauí,PI,495.29,3,370
302765,2202109,Q1938871,Campinas do Piauí,PI,831.1,13,75
302847,2202117,Q2064600,Campo Alegre do Fidalgo,PI,657.17,15,64
302810,2202133,Q2064482,Campo Grande do Piauí,PI,312.58,2,132
302674,2202174,Q1938765,Campo Largo do Piauí,PI,475.72,2,1
302832,2202208,Q2105005,Campo Maior,PI,1673.42,85,544
302665,2202251,Q2078429,Canavieira,PI,2159.35,28,79
302822,2202307,Q2079682,Canto do Buriti,PI,4326.23,13,566
302710,2202406,Q2089202,Capitão de Campos,PI,593.24,13,174
302806,2202455,Q636789,Capitão Gervásio Oliveira,PI,1134.39,2,253
302745,2202505,Q2104975,Caracol,PI,1611.06,9,7
302840,2202539,Q2064040,Caraúbas do Piauí,PI,470.93,10,122
302736,2202554,Q2064398,Caridade do Piauí,PI,500.32,3,5
302700,2202604,Q2078710,Castelo do Piauí,PI,2034.05,27,27
302855,2202653,Q1938789,Caxingó,PI,489.97,7,84
302723,2202703,Q511764,Cocal,PI,1269.13,11,9
302802,2202711,Q2078362,Cocal de Telha,PI,281.37,4,181
302732,2202729,Q1940520,Cocal dos Alves,PI,357.44,7,4
302784,2202737,Q2077715,Coivaras,PI,486.85,13,10
302814,2202752,Q2064280,Colônia do Gurguéia,PI,431.04,9,245
302781,2202778,Q2066010,Colônia do Piauí,PI,947.94,16,17
302763,2202802,Q256489,Conceição do Canindé,PI,832.12,12,34
302740,2202851,Q2078647,Coronel José Dias,PI,1916.22,0,234
302800,2202901,Q2662106,Corrente,PI,3051.53,37,51
302642,2203008,Q1122557,Cristalândia do Piauí,PI,1203.22,0,37
302761,2203107,Q1940564,Cristino Castro,PI,1846.93,14,490
302708,2203206,Q655584,Curimatá,PI,2336.96,9,13
302783,2203230,Q2065020,Currais,PI,3158.78,2,16
302788,2203255,Q1871203,Curralinhos,PI,345.82,7,141
302857,2203271,Q1936263,Curral Novo do Piauí,PI,750.92,7,210
302834,2203305,Q1851653,Demerval Lobão,PI,215.8,8,2
302652,2203354,Q2079658,Dirceu Arcoverde,PI,1017.87,4,7
302679,2203404,Q2064417,Dom Expedito Lopes,PI,219.1,23,132
302651,2203420,Q1937344,Domingos Mourão,PI,848.14,21,4
302803,2203453,Q2089195,Dom Inocêncio,PI,3868.78,0,56
302693,2203503,Q2078352,Elesbão Veloso,PI,1347.5,27,44
302738,2203602,Q2064194,Eliseu Martins,PI,1090.85,6,336
302851,2203701,Q2009973,Esperantina,PI,910.25,61,109
302813,2203750,Q1936286,Fartura do Piauí,PI,713.94,3,4
302744,2203800,Q1937384,Flores do Piauí,PI,947.82,6,33
302683,2203859,Q1935819,Floresta do Piauí,PI,195.05,7,12
302684,2203909,Q2008644,Floriano,PI,3407.42,58,324
302846,2204006,Q2077745,Francinópolis,PI,267.18,6,8
302690,2204105,Q1938945,Francisco Ayres,PI,657.78,10,8
302773,2204154,Q2064534,Francisco Macedo,PI,156.05,3,9
302757,2204204,Q2078798,Francisco Santos,PI,492.2,13,81
302823,2204303,Q2064409,Fronteiras,PI,774.93,18,136
302730,2204352,Q1852620,Geminiano,PI,462.89,6,209
302656,2204402,Q677076,Gilbués,PI,3493.51,6,238
302853,2204501,Q2104157,Guadalupe,PI,1024.99,25,207
302645,2204550,Q1969397,Guaribas,PI,3115.83,0,13
302817,2204600,Q1938815,Hugo Napoleão,PI,225.4,10,1
302864,2204659,Q2078225,Ilha Grande,PI,129.34,7,67
302671,2204709,Q2104143,Inhuma,PI,977.02,7,118
302688,2204808,Q2042128,Ipiranga do Piauí,PI,527.4,8,68
302649,2204907,Q1935791,Isaías Coelho,PI,775.8,7,53
302796,2205003,Q662237,Itainópolis,PI,829.11,14,76
302735,2205102,Q2079025,Itaueira,PI,2553.8,12,96
302672,2205151,Q2064385,Jacobina do Piauí,PI,1362.94,3,7
302779,2205201,Q953959,Jaicós,PI,863.91,21,38
302805,2205250,Q1991909,Jardim do Mulato,PI,508.97,1,6
302747,2205276,Q2079666,Jatobá do Piauí,PI,652.08,2,10
302743,2205300,Q2089161,Jerumenha,PI,1868.74,35,176
