geohash,logradouro,numero,cep
6gkzhyb2977,Rua Eduardo Sprada,5950,81.270-010
6gkzhztd6vm,Rua Deputado Heitor Alencar Furtado,5190,81280-350
6gkzj0jy3t5,Estrada Velha do Barigui,1040,81250-460
6gkzj0nrgpe,Estrada Velha do Barigui,1030,81250-460
6gkzj3qneeq,Rua Vereador Elias Karan,1060,81330-300
6gkzj3qpyby,Rua Vereador Elias Karan,1060,81330-300
6gkzj58b6ur,Rua do Semeador,461,81270-050
6gkzj82gjcb,Rua Júlio Mesquita,12,81330-430
6gkzj838nkd,Avenida Alcir Martins Bastos,572,81330-400
6gkzj8693j4,Avenida Alcir Martins Bastos,483,81330-400
6gkzj86q0mq,Rua Fernando de Souza Costa,102,81330-170
6gkzj8d9cr1,Avenida Alcir Martins Bastos,338,3288-2129
6gkzj8nug1d,Rua João Bettega,3015,81350-000
6gkzjd5kwbv,Rua Carlos Klemtz,523,81320-000
6gkzjembuw2,Rua Dionira Moletta Klemtz,237,81320-390
6gkzjhgs1p6,Rua João Dembinski,1450,81270-330
6gkzjmcdxw8,Rua Luíz Augusto Marckmann Grocoske,725,81230-174
6gkzjub9wy4,Rua da Divina Providência,1445,80310-010
6gkzjubd7sd,Rua da Divina Providência,1445,80310-010
6gkzjuctj12,Rua da Divina Providência,1280,80310-010
6gkzjuw6p1g,Rua Professor Brasílio Ovídio da Costa,1831,80310-310
6gkzjuwe1qd,Rua Professor Brasílio Ovídio da Costa,1831,80310-310
6gkzjux1v52,Rua Professor Fábio de Souza,1150,80310-230
6gkzjux5d6x,Rua Professor Fábio de Souza,1126,80310-230
6gkzjuxtv7t,Rua Professor Brasílio Ovídio da Costa,1703,80310-130
6gkzjv3bqtt,Rua Júlio Eduardo Gineste,1184,80310-410
6gkzjvd0h02,Rua João Alencar Guimarães,1118,80310-420
6gkzjvegutk,Rua João Alencar Guimarães,850,80310-420
6gkzjvpmg4v,Rua Curupis,903,80310-200
6gkzjvpqnct,Rua Curupis,903,80310-200
6gkzjvpw2uy,Rua Curupis,903,80310-200
6gkzjvsgy2u,Rua João Alencar Guimarães,723,80310-420
6gkzjvsv2yw,Rua João Alencar Guimarães,740,81530-250
6gkzjvsy032,Rua João Alencar Guimarães,740,81530-250
