osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
297753,4100103,Q784855,Abatiá,PR,227.16,3,1
297737,4100202,Q1779965,Adrianópolis,PR,1341.45,2,93
297862,4100301,Q398170,Agudos do Sul,PR,191.4,22,32
297693,4100400,Q1650078,Almirante Tamandaré,PR,197.21,140,403
297754,4100459,Q1804753,Altamira do Paraná,PR,387.05,3,118
297700,4100509,Q1805388,Altônia,PR,667.7,61,226
297674,4100608,Q2075653,Alto Paraná,PR,407.9,6,194
297571,4100707,Q1804740,Alto Piquiri,PR,446.66,16,149
297788,4100806,Q1805380,Alvorada do Sul,PR,425.35,13,17
297623,4100905,Q1773369,Amaporã,PR,383.3,5,48
297650,4101002,Q2004241,Ampére,PR,300.73,37,49
297824,4101051,Q970744,Anahy,PR,102.91,8,102
297576,4101101,Q1804315,Andirá,PR,235.79,37,68
297526,4101150,Q1205078,Ângulo,PR,106.54,3,1
297714,4101200,Q599068,Antonina,PR,880.93,23,339
297675,4101309,Q1809601,Antônio Olinto,PR,468.49,8,4
297505,4101408,Q1638385,Apucarana,PR,559.17,166,629
297713,4101507,Q1650073,Arapongas,PR,380.89,163,398
297480,4101606,Q1805391,Arapoti,PR,1362.36,45,580
297556,4101655,Q1804297,Arapuã,PR,217.98,2,24
297616,4101705,Q2034168,Araruna,PR,494.49,18,60
297778,4101804,Q1773313,Araucária,PR,467.67,265,513
297563,4101853,Q958067,Ariranha do Ivaí,PR,240.33,0,131
297580,4101903,Q2005491,Assaí,PR,442.04,61,103
297855,4102000,Q383890,Assis Chateaubriand,PR,964.74,110,199
297655,4102109,Q2007427,Astorga,PR,435.02,70,142
297718,4102208,Q607931,Atalaia,PR,135.87,7,1
297609,4102307,Q1804262,Balsa Nova,PR,351.12,78,204
297472,4102406,Q2064780,Bandeirantes,PR,445.89,50,130
297575,4102505,Q1773359,Barbosa Ferraz,PR,536.28,15,156
297622,4102604,Q628639,Barracão,PR,165.71,30,53
297606,4102703,Q2005216,Barra do Jacaré,PR,116.3,1,32
297816,4102752,Q1804834,Bela Vista da Caroba,PR,148.12,1,8
297586,4102802,Q1805395,Bela Vista do Paraíso,PR,241.74,38,90
297819,4102901,Q1805140,Bituruna,PR,1210.03,9,130
297614,4103008,Q963673,Boa Esperança,PR,306.16,2,49
297654,4103024,Q1804747,Boa Esperança do Iguaçu,PR,151.89,2,89
297596,4103040,Q1804766,Boa Ventura de São Roque,PR,620.69,6,36
297474,4103057,Q1804828,Boa Vista da Aparecida,PR,255.32,30,8
297482,4103107,Q1805304,Bocaiúva do Sul,PR,825.24,1,70
297743,4103156,Q1998947,Bom Jesus do Sul,PR,174.48,5,12
297528,4103206,Q2355826,Bom Sucesso,PR,322.39,15,45
297591,4103222,Q2004481,Bom Sucesso do Sul,PR,195.36,11,15
297530,4103305,Q1804272,Borrazópolis,PR,333.74,22,1
297786,4103354,Q676325,Braganey,PR,342,13,68
297857,4103370,Q1804776,Brasilândia do Sul,PR,292.09,3,16
297751,4103404,Q1773377,Cafeara,PR,191.38,3,1
297627,4103453,Q2040790,Cafelândia,PR,271.97,48,379
297784,4103479,Q2003753,Cafezal do Sul,PR,337.07,25,41
