osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
2217370,3300100,Q542829,Angra dos Reis,RJ,814.28,374,1331
2215535,3300159,Q1787636,Aperibé,RJ,96.68,14,49
2215536,3300209,Q1761549,Araruama,RJ,632.68,131,501
2215537,3300225,Q1761573,Areal,RJ,111.45,58,179
2215538,3300233,Q680119,Armação dos Búzios,RJ,69.86,70,628
2215539,3300258,Q1750235,Arraial do Cabo,RJ,158.29,61,267
2217372,3300308,Q1750175,Barra do Piraí,RJ,578.68,152,335
2217371,3300407,Q808797,Barra Mansa,RJ,546.41,627,1305
2220781,3300456,Q737636,Belford Roxo,RJ,77.82,166,384
2215540,3300506,Q628978,Bom Jardim,RJ,384.86,16,261
2213687,3300605,Q1750011,Bom Jesus do Itabapoana,RJ,597.15,59,184
2215541,3300704,Q735025,Cabo Frio,RJ,399.88,202,543
2219086,3300803,Q1983181,Cachoeiras de Macacu,RJ,955.47,69,698
2215542,3300902,Q1787650,Cambuci,RJ,561.91,1,198
2212558,3300936,Q1787642,Carapebus,RJ,305.46,42,98
2215546,3300951,Q684387,Comendador Levy Gasparian,RJ,106.19,44,131
2211795,3301009,Q689868,Campos dos Goytacazes,RJ,4002.19,665,3426
2215543,3301108,Q1763072,Cantagalo,RJ,748.76,50,130
2211796,3301157,Q1807668,Cardoso Moreira,RJ,514.85,7,167
2215544,3301207,Q1765089,Carmo,RJ,321.18,30,85
8259411,3301306,Q1761688,Casimiro de Abreu,RJ,463.41,67,728
2212559,3301405,Q601169,Conceição de Macabu,RJ,346.16,31,221
2215547,3301504,Q534937,Cordeiro,RJ,116.13,36,71
2215548,3301603,Q1786966,Duas Barras,RJ,375.45,11,62
2220782,3301702,Q193021,Duque de Caxias,RJ,467.07,722,1506
2219087,3301801,Q1787607,Engenheiro Paulo de Frontin,RJ,139.01,29,94
2220783,3301850,Q1761565,Guapimirim,RJ,361.67,108,721
2215549,3301876,Q1761488,Iguaba Grande,RJ,51.5,62,120
2220784,3301900,Q841244,Itaboraí,RJ,425.26,190,859
2219088,3302007,Q730437,Itaguaí,RJ,274.2,221,381
2213765,3302056,Q1804116,Italva,RJ,296.27,10,87
2215550,3302106,Q1804085,Itaocara,RJ,428.39,38,56
2213766,3302205,Q1675245,Itaperuna,RJ,1105.62,98,317
2217373,3302254,Q817223,Itatiaia,RJ,224.26,87,394
2220785,3302270,Q1787673,Japeri,RJ,82.95,127,130
2213767,3302304,Q519652,Laje do Muriaé,RJ,250.39,3,12
2212560,3302403,Q473250,Macaé,RJ,1216.11,461,1725
2215551,3302452,Q1787503,Macuco,RJ,77.01,11,132
2220786,3302502,Q841218,Magé,RJ,386.14,216,925
2219089,3302601,Q988680,Mangaratiba,RJ,352.72,121,531
2220787,3302700,Q847037,Maricá,RJ,363.15,178,489
2219090,3302809,Q1798722,Mendes,RJ,77.24,45,77
2709108,3302858,Q984780,Mesquita,RJ,33.96,138,215
2219091,3302908,Q1798731,Miguel Pereira,RJ,287.38,33,145
2215552,3303005,Q1804056,Miracema,RJ,303.38,14,46
2213768,3303104,Q2057463,Natividade,RJ,387.05,26,112
2220788,3303203,Q983459,Nilópolis,RJ,18.58,87,75
2220789,3303302,Q178725,Niterói,RJ,134.1,658,2358
2215553,3303401,Q468563,Nova Friburgo,RJ,933.31,163,1027
2709115,3303500,Q188897,Nova Iguaçu,RJ,508.6,646,1938
2219092,3303609,Q1802179,Paracambi,RJ,179.87,95,237
2215554,3303708,Q304947,Paraíba do Sul,RJ,580.26,66,104
1277591,3303807,Q926729,Paraty,RJ,925.49,72,1035
2219093,3303856,Q955927,Paty do Alferes,RJ,319,6,21
2219094,3303906,Q189043,Petrópolis,RJ,775.84,286,1159
2217374,3303955,Q1843603,Pinheiral,RJ,76.78,1,102
2217375,3304003,Q1015780,Piraí,RJ,505.43,94,676
2213688,3304102,Q1802244,Porciúncula,RJ,301.99,10,17
2217376,3304110,Q765477,Porto Real,RJ,50.51,73,490
2217377,3304128,Q1800698,Quatis,RJ,286.2,56,328
2220791,3304144,Q1800756,Queimados,RJ,76.94,106,370
2212561,3304151,Q1803183,Quissamã,RJ,716,71,97
2217378,3304201,Q913390,Resende,RJ,1113.65,231,1690
2219095,3304300,Q1802187,Rio Bonito,RJ,461.77,130,200
2217379,3304409,Q953901,Rio Claro,RJ,841.61,105,251
2217380,3304508,Q1761758,Rio das Flores,RJ,476.48,4,58
8259410,3304524,Q1787668,Rio das Ostras,RJ,230.46,120,762
2697338,3304557,Q8678,Rio de Janeiro,RJ,1221.81,7172,50659
2215556,3304607,Q2013108,Santa Maria Madalena,RJ,817.41,55,196
2215557,3304706,Q1788412,Santo Antônio de Pádua,RJ,604.07,49,221
2211798,3304755,Q1787681,São Francisco de Itabapoana,RJ,1120.59,46,405
2211797,3304805,Q1787793,São Fidélis,RJ,1028.22,61,150
2220792,3304904,Q83114,São Gonçalo,RJ,246.8,553,1369
2211799,3305000,Q923201,São João da Barra,RJ,492.61,114,802
2220793,3305109,Q459690,São João de Meriti,RJ,35.24,238,578
