osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
301076,2400109,Q2008611,Acari,RN,608.62,15,345
301109,2400208,Q1788873,Açu,RN,1300.75,67,714
301186,2400307,Q1788960,Afonso Bezerra,RN,576.67,42,246
301201,2400406,Q1786703,Água Nova,RN,50.36,0,2
301217,2400505,Q2099372,Alexandria,RN,381.2,18,102
301188,2400604,Q1802697,Almino Afonso,RN,128.04,31,48
301199,2400703,Q1787554,Alto do Rodrigues,RN,190.89,14,449
301122,2400802,Q1989884,Angicos,RN,742.79,42,40
301142,2400901,Q1788470,Antônio Martins,RN,244.51,34,2
301112,2401008,Q2008084,Apodi,RN,1602.64,30,169
301097,2401107,Q2072691,Areia Branca,RN,358.22,6,748
301152,2401206,Q928712,Arês,RN,115.19,21,150
301088,2401305,Q1802671,Campo Grande,RN,897.5,27,213
301192,2401404,Q282133,Baía Formosa,RN,245.92,5,19
301189,2401453,Q1970827,Baraúna,RN,827.15,13,507
301130,2401503,Q2011622,Barcelona,RN,153.1,10,474
301075,2401602,Q1802840,Bento Fernandes,RN,301.08,5,4
301127,2401651,Q1802663,Bodó,RN,253.52,0,216
301131,2401701,Q2011643,Bom Jesus,RN,122.39,0,34
301086,2401800,Q2088956,Brejinho,RN,61.59,18,64
301074,2401859,Q1787018,Caiçara do Norte,RN,187.73,0,60
301070,2401909,Q771693,Caiçara do Rio do Vento,RN,261.44,3,3
301058,2402006,Q1751350,Caicó,RN,1225.7,212,589
301125,2402105,Q1802775,Campo Redondo,RN,213.62,3,138
301167,2402204,Q1787055,Canguaretama,RN,245.78,63,41
301094,2402303,Q2078721,Caraúbas,RN,1096.42,26,606
301184,2402402,Q1787511,Carnaúba dos Dantas,RN,245.65,10,30
301134,2402501,Q1788271,Carnaubais,RN,541.77,15,39
301124,2402600,Q1759622,Ceará-Mirim,RN,724.06,106,1559
301108,2402709,Q1802687,Cerro Corá,RN,393.98,5,68
301123,2402808,Q1802414,Coronel Ezequiel,RN,185.84,2,14
301105,2402907,Q1802324,Coronel João Pessoa,RN,117.34,8,6
301092,2403004,Q1787064,Cruzeta,RN,295.87,5,85
301212,2403103,Q1759405,Currais Novos,RN,864.35,35,421
301219,2403202,Q598179,Doutor Severiano,RN,107.63,3,2
301117,2403251,Q986261,Parnamirim,RN,123.88,279,1090
301139,2403301,Q2089248,Encanto,RN,126.06,2,2
301102,2403400,Q2002138,Equador,RN,265.76,7,5
301116,2403509,Q2064219,Espírito Santo,RN,136.46,5,71
301084,2403608,Q591577,Extremoz,RN,140.52,63,214
301160,2403707,Q1787530,Felipe Guerra,RN,268.1,0,38
301164,2403756,Q588380,Fernando Pedroza,RN,322.41,4,61
301136,2403806,Q1787072,Florânia,RN,504.82,8,6
301077,2403905,Q2088951,Francisco Dantas,RN,180.81,8,1
301185,2404002,Q786174,Frutuoso Gomes,RN,63.28,16,1
301110,2404101,Q1788257,Galinhos,RN,340.25,6,122
301106,2404200,Q1802289,Goianinha,RN,191.71,44,294
301207,2404309,Q1787040,Governador Dix-Sept Rosado,RN,1129.13,7,347
301180,2404408,Q1802633,Grossos,RN,126.57,0,177
301096,2404507,Q1786961,Guamaré,RN,259.09,18,308
301194,2404606,Q649314,Ielmo Marinho,RN,311.09,5,37
301150,2404705,Q1787080,Ipanguaçu,RN,374.94,13,535
301100,2404804,Q1789047,Ipueira,RN,128.3,2,2
301171,2404853,Q2077915,Itajá,RN,204.64,38,158
301158,2404903,Q379152,Itaú,RN,133.1,25,2
301085,2405009,Q2008149,Jaçanã,RN,55.18,3,8
301083,2405108,Q2213742,Jandaíra,RN,437.96,12,148
301220,2405207,Q1759342,Janduís,RN,304.84,4,21
301147,2405306,Q1802783,Boa Saúde,RN,187.3,9,10
301172,2405405,Q1804068,Japi,RN,188.93,3,6
301118,2405504,Q1788386,Jardim de Angicos,RN,253.89,5,22
301221,2405603,Q368917,Jardim de Piranhas,RN,331.59,6,51
301145,2405702,Q1786973,Jardim do Seridó,RN,368.43,7,2
301202,2405801,Q507247,João Câmara,RN,715.22,26,1282
301165,2405900,Q1802624,João Dias,RN,88.17,0,23
301069,2406007,Q1787569,José da Penha,RN,117.98,2,55
301128,2406106,Q1787030,Jucurutu,RN,933.76,28,108
301065,2406155,Q2355804,Jundiá,RN,44.62,0,31
301113,2406205,Q1802281,Lagoa d'Anta,RN,105.66,10,36
301129,2406304,Q1802850,Lagoa de Pedras,RN,117.53,4,14
301146,2406403,Q534097,Lagoa de Velhos,RN,113.82,0,2
301073,2406502,Q526249,Lagoa Nova,RN,176.3,5,339
301089,2406601,Q973069,Lagoa Salgada,RN,79.33,8,14
301063,2406700,Q1802253,Lajes,RN,676.91,77,69
301198,2406809,Q1802336,Lajes Pintadas,RN,130.47,0,27
301087,2406908,Q1802377,Lucrécia,RN,30.85,3,6
301103,2407005,Q1802790,Luís Gomes,RN,168.34,3,56
301190,2407104,Q1786943,Macaíba,RN,510.14,124,546
301206,2407203,Q585538,Macau,RN,792.96,53,703
301148,2407252,Q1802362,Major Sales,RN,31.59,2,17
301095,2407302,Q1786932,Marcelino Vieira,RN,345.64,23,147
301057,2407401,Q599726,Martins,RN,169.54,1,13
301135,2407500,Q1802383,Maxaranguape,RN,131.87,15,55
301140,2407609,Q521491,Messias Targino,RN,135.15,0,5
301195,2407708,Q548971,Montanhas,RN,82.47,2,9
301175,2407807,Q2078937,Monte Alegre,RN,210.93,21,96
301080,2407906,Q1802831,Monte das Gameleiras,RN,71.97,1,7
301153,2408003,Q694845,Mossoró,RN,2099.32,275,4366
301091,2408102,Q131620,Natal,RN,166.57,1452,6428
301078,2408201,Q1116574,Nísia Floresta,RN,306.98,65,204
301216,2408300,Q1802859,Nova Cruz,RN,277.07,20,177
301104,2408409,Q1802421,Olho-d'Água do Borges,RN,141.16,10,110
301138,2408508,Q2088917,Ouro Branco,RN,251.98,2,2
301149,2408607,Q1845017,Paraná,RN,81.84,4,3
301224,2408706,Q1786926,Paraú,RN,383.3,1,33
301151,2408805,Q1786939,Parazinho,RN,274.34,0,692
301197,2408904,Q1786896,Parelhas,RN,512.12,66,92
301193,2408953,Q614428,Rio do Fogo,RN,150.49,9,273
301177,2409100,Q772851,Passa e Fica,RN,41.74,8,28
301218,2409209,Q2309743,Passagem,RN,41.2,1,57
301059,2409308,Q2078782,Patu,RN,319.17,47,54
301107,2409332,Q1954847,Santa Maria,RN,219.23,13,5
301179,2409407,Q1759093,Pau dos Ferros,RN,258.28,43,32
301068,2409506,Q1802585,Pedra Grande,RN,222.39,2,191
301174,2409605,Q1857718,Pedra Preta,RN,296.4,19,34
301173,2409704,Q1786870,Pedro Avelino,RN,950.08,58,122
301121,2409803,Q1786891,Pedro Velho,RN,192.49,7,41
301159,2409902,Q1786911,Pendências,RN,415.99,24,681
301132,2410009,Q2008056,Pilões,RN,82.69,7,60
301163,2410108,Q1802657,Poço Branco,RN,230.32,3,70
301111,2410207,Q2079757,Portalegre,RN,109.96,0,54
301062,2410256,Q390276,Porto do Mangue,RN,319.6,8,8
301141,2410306,Q2298053,Serra Caiada,RN,166.55,5,140
301205,2410405,Q1802616,Pureza,RN,504.59,2,251
301082,2410504,Q1786863,Rafael Fernandes,RN,79.63,13,44
301119,2410603,Q1802391,Rafael Godeiro,RN,100.17,2,61
301210,2410702,Q1802639,Riacho da Cruz,RN,127.22,7,19
301061,2410801,Q2232145,Riacho de Santana,RN,127.97,5,3
301071,2410900,Q2066132,Riachuelo,RN,263.34,8,17
