osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
325842,1100015,Q1761456,Alta Floresta D'Oeste,RO,7061.23,2,10
325888,1100023,Q1646975,Ariquemes,RO,4426.75,175,869
325882,1100031,Q940433,Cabixi,RO,1323.73,15,66
325872,1100049,Q1761637,Cacoal,RO,3795.72,70,338
325883,1100056,Q1803210,Cerejeiras,RO,2783.31,16,12
325860,1100064,Q1785819,Colorado do Oeste,RO,1449.09,6,201
325874,1100072,Q927349,Corumbiara,RO,3060.32,7,141
325844,1100080,Q656758,Costa Marques,RO,4979.9,0,28
325845,1100098,Q616498,Espigão D'Oeste,RO,4516.4,3,20
325856,1100106,Q983810,Guajará-Mirim,RO,24826.21,15,146
325864,1100114,Q988755,Jaru,RO,2945.44,12,216
325879,1100122,Q983815,Ji-Paraná,RO,6889.45,41,583
325881,1100130,Q1786440,Machadinho D'Oeste,RO,8509.9,6,32
325857,1100148,Q2014329,Nova Brasilândia D'Oeste,RO,1700,6,15
325854,1100155,Q1803223,Ouro Preto do Oeste,RO,1973.18,15,385
325843,1100189,Q1803175,Pimenta Bueno,RO,6236.33,44,954
325855,1100205,Q172512,Porto Velho,RO,34088.29,301,3647
325892,1100254,Q1871362,Presidente Médici,RO,1759.47,20,496
325848,1100262,Q1786495,Rio Crespo,RO,1720.82,7,158
325876,1100288,Q1784242,Rolim de Moura,RO,1458.79,33,169
325862,1100296,Q1802100,Santa Luzia D'Oeste,RO,1199.54,20,61
325887,1100304,Q1749958,Vilhena,RO,11527.5,216,1134
325863,1100320,Q1807456,São Miguel do Guaporé,RO,7463.54,15,7
325849,1100338,Q993507,Nova Mamoré,RO,10075.22,4,216
325853,1100346,Q1786028,Alvorada D'Oeste,RO,3035.9,14,21
325858,1100379,Q1802050,Alto Alegre dos Parecis,RO,3955.29,12,4
325870,1100403,Q607036,Alto Paraíso,RO,2651.05,47,197
325859,1100452,Q1921800,Buritis,RO,3269.15,0,3
325865,1100502,Q2013150,Novo Horizonte do Oeste,RO,844.41,3,2
325847,1100601,Q1750177,Cacaulândia,RO,1963.48,0,105
325871,1100700,Q2089179,Campo Novo de Rondônia,RO,3443.9,3,7
325890,1100809,Q2078405,Candeias do Jamari,RO,6845.55,7,822
325891,1100908,Q1785860,Castanheiras,RO,895.04,27,218
325852,1100924,Q735454,Chupinguaia,RO,5131.99,4,398
325880,1100940,Q1803135,Cujubim,RO,3866.16,7,45
325894,1101005,Q964725,Governador Jorge Teixeira,RO,5064.46,1,4
325893,1101104,Q1802170,Itapuã do Oeste,RO,4077.58,11,413
325889,1101203,Q775204,Ministro Andreazza,RO,799.01,0,118
325875,1101302,Q2079711,Mirante da Serra,RO,1188.68,0,1
325873,1101401,Q2014320,Monte Negro,RO,1932.2,11,29
325846,1101435,Q2364475,Nova União,RO,806.89,0,2
325850,1101450,Q1803114,Parecis,RO,2549.6,6,53
325885,1101468,Q1803105,Pimenteiras do Oeste,RO,6000.24,2,7
325878,1101476,Q1802123,Primavera de Rondônia,RO,607.71,3,43
325877,1101484,Q1803269,São Felipe D'Oeste,RO,541.34,2,81
325851,1101492,Q1802095,São Francisco do Guaporé,RO,10948.5,3,22
325867,1101500,Q727950,Seringueiras,RO,3769.34,9,1
325861,1101559,Q1802088,Teixeirópolis,RO,460.87,4,64
325886,1101609,Q647208,Theobroma,RO,2199.89,0,54
325884,1101708,Q2089326,Urupá,RO,831.7,7,18
325868,1101757,Q1807445,Vale do Anari,RO,3133.72,0,6
325869,1101807,Q2013187,Vale do Paraíso,RO,967.25,0,2
