osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
326296,1400027,Q1646965,Amajari,RR,28401.33,42,523
326291,1400050,Q1763240,Alto Alegre,RR,25529.55,17,285
326286,1400100,Q181056,Boa Vista,RR,5678.64,700,2384
326289,1400159,Q1763254,Bonfim,RR,8075.11,32,137
326284,1400175,Q1646914,Cantá,RR,7666.03,18,42
326293,1400209,Q772563,Caracaraí,RR,47465.06,77,723
326290,1400233,Q748315,Caroebe,RR,12072.36,1,18
326294,1400282,Q1786374,Iracema,RR,14126.01,8,171
326297,1400308,Q1637423,Mucajaí,RR,12460.62,47,243
326282,1400407,Q1750038,Normandia,RR,6965.66,0,195
326283,1400456,Q1647045,Pacaraima,RR,8018.71,10,316
326292,1400472,Q1646932,Rorainópolis,RR,33525.17,96,168
326285,1400506,Q1646960,São João da Baliza,RR,4276.89,2,58
326295,1400605,Q1751337,São Luiz,RR,1532.86,9,166
326288,1400704,Q1637434,Uiramutã,RR,8132.52,0,241
