osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
242682,4300034,Q913259,Aceguá,RS,1550.01,11,79
242438,4300059,Q249795,Água Santa,RS,292.32,15,120
242758,4300109,Q398173,Agudo,RS,537.64,182,162
242740,4300208,Q413408,Ajuricaba,RS,321.94,5,4
242326,4300307,Q995308,Alecrim,RS,315.3,14,33
242346,4300406,Q851276,Alegrete,RS,7802.59,257,1951
242375,4300455,Q601127,Alegria,RS,172.83,0,22
242597,4300471,Q957758,Almirante Tamandaré do Sul,RS,264.36,9,172
242578,4300505,Q957796,Alpestre,RS,324.68,3,131
242493,4300554,Q1806753,Alto Alegre,RS,115.4,4,65
242606,4300570,Q33958,Alto Feliz,RS,78.76,0,95
242711,4300604,Q449593,Alvorada,RS,71.67,194,378
242564,4300638,Q33955,Amaral Ferrador,RS,506.2,0,16
242323,4300646,Q33945,Ametista do Sul,RS,93.54,2,18
242529,4300661,Q523535,André da Rocha,RS,330.02,0,11
242745,4300703,Q33944,Anta Gorda,RS,242.55,10,22
242642,4300802,Q33949,Antônio Prado,RS,348.29,48,186
242645,4300851,Q33953,Arambaré,RS,519.11,3,31
242538,4300877,Q626331,Araricá,RS,34.56,33,29
242480,4300901,Q33961,Aratiba,RS,340.68,15,117
242537,4301008,Q1758806,Arroio do Meio,RS,156.84,44,346
242423,4301057,Q1648525,Arroio do Sal,RS,129.86,64,272
242336,4301073,Q510698,Arroio do Padre,RS,123.87,13,10
242612,4301107,Q1750199,Arroio dos Ratos,RS,422.34,143,63
242306,4301206,Q33964,Arroio do Tigre,RS,317.08,19,55
242292,4301305,Q950879,Arroio Grande,RS,2504.08,61,368
242618,4301404,Q1749878,Arvorezinha,RS,271.36,32,18
242305,4301503,Q600118,Augusto Pestana,RS,347.59,14,8
242445,4301552,Q1786460,Áurea,RS,157.15,18,4
242547,4301602,Q119140,Bagé,RS,4097.65,111,414
242681,4301636,Q1648530,Balneário Pinhal,RS,104.02,46,94
242516,4301651,Q1758344,Barão,RS,124.37,16,44
242770,4301701,Q1786792,Barão de Cotegipe,RS,260.88,39,74
242768,4301750,Q1750098,Barão do Triunfo,RS,437.92,0,60
242369,4301800,Q970961,Barracão,RS,514.59,39,275
242767,4301859,Q1757715,Barra do Guarita,RS,63.97,7,4
242748,4301875,Q654843,Barra do Quaraí,RS,1054.32,11,91
242325,4301909,Q808802,Barra do Ribeiro,RS,727.47,28,232
242657,4301925,Q1112822,Barra do Rio Azul,RS,147.87,0,73
242452,4301958,Q584762,Barra Funda,RS,60.44,14,49
242589,4302006,Q1786797,Barros Cassal,RS,648.09,28,109
242355,4302055,Q1786627,Benjamin Constant do Sul,RS,132.72,0,45
242504,4302105,Q548652,Bento Gonçalves,RS,279.52,438,769
242737,4302154,Q1758280,Boa Vista das Missões,RS,195.25,13,108
242717,4302204,Q1786675,Boa Vista do Buricá,RS,109.27,9,10
