osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
296665,4200051,Q1637414,Abdon Batista,SC,236.79,7,116
296601,4200101,Q1637506,Abelardo Luz,SC,954.81,31,198
296768,4200200,Q397387,Agrolândia,SC,208.39,6,56
296564,4200309,Q1754594,Agronômica,SC,129.73,29,43
296621,4200408,Q1750762,Água Doce,SC,1311.27,43,699
296580,4200507,Q1750761,Águas de Chapecó,SC,138.99,5,68
296574,4200556,Q1796824,Águas Frias,SC,75.84,4,32
296576,4200606,Q249844,Águas Mornas,SC,326.51,46,175
296694,4200705,Q1754557,Alfredo Wagner,SC,732.15,50,75
296615,4200754,Q1758023,Alto Bela Vista,SC,104.89,17,26
296772,4200804,Q1935710,Anchieta,SC,228.93,15,27
296758,4200903,Q1784392,Angelina,SC,498.55,11,245
296645,4201000,Q617657,Anita Garibaldi,SC,590.56,11,235
296583,4201109,Q1750770,Anitápolis,SC,541.54,13,20
296793,4201208,Q22063985,Antônio Carlos,SC,235.7,5,124
296690,4201257,Q1758008,Apiúna,SC,493.23,21,134
296603,4201273,Q374753,Arabutã,SC,123.08,12,75
296537,4201307,Q607184,Araquari,SC,385.55,166,398
296568,4201406,Q626231,Araranguá,SC,302.77,480,642
296678,4201505,Q1764990,Armazém,SC,173.47,13,75
296552,4201604,Q1758088,Arroio Trinta,SC,93.96,9,13
296618,4201653,Q1758063,Arvoredo,SC,90.27,19,41
296640,4201703,Q1758057,Ascurra,SC,112.22,29,60
296780,4201802,Q1815704,Atalanta,SC,94.5,1,5
296577,4201901,Q2012016,Aurora,SC,206.24,2,48
296681,4201950,Q1758002,Balneário Arroio do Silva,SC,95.21,47,43
296508,4202008,Q598016,Balneário Camboriú,SC,45.53,338,691
296708,4202057,Q1764948,Balneário Barra do Sul,SC,109.25,23,61
296739,4202073,Q1757752,Balneário Gaivota,SC,148.1,18,23
296776,4202081,Q941669,Bandeirante,SC,147.92,1,15
296658,4202099,Q1815639,Barra Bonita,SC,93.27,0,10
296738,4202107,Q808787,Barra Velha,SC,139.15,133,225
296736,4202131,Q1765028,Bela Vista do Toldo,SC,535.79,13,10
296595,4202156,Q1799364,Belmonte,SC,93.49,7,112
296740,4202206,Q817098,Benedito Novo,SC,387.72,18,145
296705,4202305,Q1754582,Biguaçu,SC,367.9,212,438
296522,4202404,Q155557,Blumenau,SC,517.3,1528,10711
296754,4202438,Q1750759,Bocaina do Sul,SC,508.67,45,56
296743,4202453,Q891934,Bombinhas,SC,34.45,58,302
296777,4202503,Q939572,Bom Jardim da Serra,SC,937.33,29,237
296745,4202537,Q769692,Bom Jesus,SC,63.54,33,68
296770,4202578,Q616028,Bom Jesus do Oeste,SC,67.48,17,25
296507,4202602,Q891740,Bom Retiro,SC,1058.99,40,141
296619,4202701,Q894929,Botuverá,SC,297.02,12,32
296579,4202800,Q903373,Braço do Norte,SC,211.07,24,216
296652,4202859,Q1784745,Braço do Trombudo,SC,91.18,2,11
296734,4202875,Q1765062,Brunópolis,SC,336.49,4,45
296588,4202909,Q329488,Brusque,SC,283.76,402,910
296548,4203006,Q986540,Caçador,SC,981.97,320,577
296539,4203105,Q1758966,Caibi,SC,174,17,72
296695,4203154,Q1784723,Calmon,SC,638.47,0,27
296661,4203204,Q744097,Camboriú,SC,213.17,132,422
296761,4203253,Q1112283,Capão Alto,SC,1336.82,62,49
296792,4203303,Q2087030,Campo Alegre,SC,496.73,63,225
296671,4203402,Q1765051,Campo Belo do Sul,SC,1026.72,23,356
296712,4203501,Q1757768,Campo Erê,SC,478.75,37,113
296597,4203600,Q1764972,Campos Novos,SC,1719.64,125,676
296641,4203709,Q957908,Canelinha,SC,153.01,9,86
296668,4203808,Q1799304,Canoinhas,SC,1144.18,91,307
296724,4203907,Q780452,Capinzal,SC,243.82,36,100
296787,4203956,Q1750765,Capivari de Baixo,SC,53.15,53,269
296521,4204004,Q2087108,Catanduvas,SC,198.19,32,56
296702,4204103,Q1758980,Caxambu do Sul,SC,142.3,2,32
296673,4204152,Q1750758,Celso Ramos,SC,208.14,1,103
296709,4204178,Q1799348,Cerro Negro,SC,416.96,3,46
296703,4204194,Q1784522,Chapadão do Lageado,SC,123.3,6,45
296501,4204202,Q817387,Chapecó,SC,626.47,886,4512
296639,4204251,Q1765012,Cocal do Sul,SC,71.38,45,156
296692,4204301,Q749798,Concórdia,SC,811.34,217,782
296514,4204350,Q1758999,Cordilheira Alta,SC,84.09,9,61
296638,4204400,Q1758946,Coronel Freitas,SC,232.69,27,87
