osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
303917,2800100,Q1802043,Amparo de São Francisco,SE,36.56,6,13
303893,2800209,Q2013098,Aquidabã,SE,358.96,18,59
303928,2800308,Q170578,Aracaju,SE,186.2,1030,3298
303939,2800407,Q1802037,Arauá,SE,192.36,3,198
303915,2800506,Q949854,Areia Branca,SE,147.61,6,84
303886,2800605,Q1784872,Barra dos Coqueiros,SE,95.96,48,139
303897,2800670,Q746187,Boquim,SE,205.8,24,155
303906,2800704,Q1802013,Brejo Grande,SE,139.21,13,25
303873,2801009,Q1801972,Campo do Brito,SE,201.99,17,176
303875,2801108,Q1801984,Canhoba,SE,172.3,3,8
303895,2801207,Q1807399,Canindé de São Francisco,SE,901.02,45,376
303931,2801306,Q726730,Capela,SE,441.92,65,412
303887,2801405,Q2013076,Carira,SE,635.4,12,40
303901,2801504,Q1801997,Carmópolis,SE,45.45,73,346
303913,2801603,Q2013083,Cedro de São João,SE,83.75,17,196
303926,2801702,Q1802492,Cristinápolis,SE,236.34,5,12
303942,2801900,Q656402,Cumbe,SE,128.14,2,151
303937,2802007,Q1802021,Divina Pastora,SE,92.14,24,369
303898,2802106,Q1005942,Estância,SE,643.46,64,615
303891,2802205,Q2078439,Feira Nova,SE,184.43,11,7
303909,2802304,Q588822,Frei Paulo,SE,400.58,2,120
303905,2802403,Q2013193,Gararu,SE,656.03,10,141
303903,2802502,Q1802002,General Maynard,SE,20.12,0,15
303911,2802601,Q647366,Gracho Cardoso,SE,241.94,5,151
303874,2802700,Q1801964,Ilha das Flores,SE,52.71,5,8
3721829,2802809,Q2013163,Indiaroba,SE,313.39,64,59
303888,2802908,Q1784050,Itabaiana,SE,337.56,72,843
303914,2803005,Q1802007,Itabaianinha,SE,494.92,61,518
303921,2803104,Q1929327,Itabi,SE,184.36,9,22
303882,2803203,Q1807361,Itaporanga d'Ajuda,SE,742.44,133,250
303871,2803302,Q2013178,Japaratuba,SE,364.24,86,340
303869,2803401,Q1112881,Japoatã,SE,408.34,10,152
303894,2803500,Q2288052,Lagarto,SE,970.15,168,1767
303944,2803609,Q2014486,Laranjeiras,SE,162.86,98,323
303902,2803708,Q2013214,Macambira,SE,138.02,2,11
303924,2803807,Q2078302,Malhada dos Bois,SE,64.01,8,58
303932,2803906,Q2013198,Malhador,SE,101.75,6,68
303879,2804003,Q609459,Maruim,SE,94.62,62,326
303883,2804102,Q1857645,Moita Bonita,SE,96.27,19,145
303922,2804201,Q2079721,Monte Alegre de Sergipe,SE,407.77,18,133
303881,2804300,Q2079696,Muribeca,SE,75.3,16,44
303941,2804409,Q2011928,Neópolis,SE,274.74,48,227
303878,2804458,Q2089228,Nossa Senhora Aparecida,SE,339.46,6,119
303933,2804508,Q2014499,Nossa Senhora da Glória,SE,758.31,23,431
303935,2804607,Q1924777,Nossa Senhora das Dores,SE,483.19,14,502
303890,2804706,Q2011901,Nossa Senhora de Lourdes,SE,82.37,0,4
303870,2804805,Q1800687,Nossa Senhora do Socorro,SE,156.07,226,1148
303930,2804904,Q2307488,Pacatuba,SE,379.42,10,75
303925,2805000,Q2078330,Pedra Mole,SE,82.05,0,4
303884,2805109,Q2013116,Pedrinhas,SE,33.49,5,38
303876,2805208,Q2171696,Pinhão,SE,156.52,0,3
303920,2805307,Q1809608,Pirambu,SE,208.47,1,39
303918,2805406,Q430927,Poço Redondo,SE,1232.81,19,149
303934,2805505,Q2014476,Poço Verde,SE,439.92,14,138
303889,2805604,Q2014466,Porto da Folha,SE,876.13,34,134
303943,2805703,Q1807371,Propriá,SE,95.32,12,109
303938,2805802,Q2078413,Riachão do Dantas,SE,530.42,20,24
303872,2805901,Q2347679,Riachuelo,SE,78.1,15,333
303927,2806008,Q2079747,Ribeirópolis,SE,258.15,5,92
303892,2806107,Q2013205,Rosário do Catete,SE,105.5,33,224
303908,2806206,Q2013090,Salgado,SE,247.4,30,148
303900,2806305,Q2089266,Santa Luzia do Itanhy,SE,332.93,14,93
303936,2806404,Q668375,Santana do São Francisco,SE,44.45,1,144
303919,2806503,Q2083175,Santa Rosa de Lima,SE,67.48,12,101
303907,2806602,Q371369,Santo Amaro das Brotas,SE,235.96,8,83
303896,2806701,Q839003,São Cristóvão,SE,439.38,104,725
303912,2806800,Q1999718,São Domingos,SE,101.59,6,68
303877,2806909,Q2331416,São Francisco,SE,82.33,7,79
303923,2807006,Q2089289,São Miguel do Aleixo,SE,145.3,4,7
303885,2807105,Q1848973,Simão Dias,SE,563.82,38,173
303916,2807204,Q1975957,Siriri,SE,166.5,19,91
303904,2807303,Q2079737,Telha,SE,50.43,11,5
303899,2807402,Q2013156,Tobias Barreto,SE,1023.71,87,210
303880,2807501,Q615936,Tomar do Geru,SE,304.72,6,85
303910,2807600,Q1807390,Umbaúba,SE,121.83,15,45
