osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
298151,3500105,Q1637498,Adamantina,SP,411.47,49,238
298302,3500204,Q676044,Adolfo,SP,210.58,9,82
298431,3500303,Q1760037,Aguaí,SP,472.9,186,241
298075,3500402,Q1647805,Águas da Prata,SP,143.54,24,96
298061,3500501,Q249869,Águas de Lindóia,SP,59.89,12,155
298349,3500550,Q22066,Águas de Santa Bárbara,SP,406.24,49,165
297918,3500600,Q249900,Águas de São Pedro,SP,5.54,8,38
298016,3500709,Q1750166,Agudos,SP,965.47,111,209
298120,3500758,Q513601,Alambari,SP,158.28,104,65
298398,3500808,Q596678,Alfredo Marcondes,SP,116.68,9,9
298035,3500907,Q305132,Altair,SP,312.94,18,342
298422,3501004,Q1112482,Altinópolis,SP,929.31,94,104
298202,3501103,Q1806762,Alto Alegre,SP,320.56,23,51
298114,3501152,Q642894,Alumínio,SP,83.89,47,307
298519,3501202,Q1754608,Álvares Florence,SP,361.44,41,297
298508,3501301,Q1750446,Álvares Machado,SP,347.61,110,536
298212,3501400,Q1749940,Álvaro de Carvalho,SP,152.68,18,4
297906,3501509,Q1750195,Alvinlândia,SP,84.25,17,38
297977,3501608,Q467421,Americana,SP,134.4,448,869
298452,3501707,Q376503,Américo Brasiliense,SP,123.49,127,173
297945,3501806,Q964181,Américo de Campos,SP,253.03,48,95
298494,3501905,Q930321,Amparo,SP,447.32,148,805
297984,3502002,Q1754575,Analândia,SP,326.72,26,67
298128,3502101,Q1646937,Andradina,SP,963.23,142,445
298408,3502200,Q1750222,Angatuba,SP,1027.79,30,156
298420,3502309,Q942392,Anhembi,SP,737.22,79,443
298190,3502408,Q22066885,Anhumas,SP,320.66,20,129
298160,3502507,Q617702,Aparecida,SP,121.25,116,344
298023,3502606,Q1759370,Aparecida d'Oeste,SP,179.93,26,58
298507,3502705,Q1760259,Apiaí,SP,972.92,20,230
298287,3502754,Q765185,Araçariguama,SP,147.28,78,235
297930,3502804,Q626835,Araçatuba,SP,1165.73,422,1957
298446,3502903,Q1754621,Araçoiaba da Serra,SP,259.46,129,358
298091,3503000,Q930883,Aramina,SP,205.16,130,149
298067,3503109,Q1754457,Arandu,SP,253.27,6,55
298468,3503158,Q1749953,Arapeí,SP,155.98,4,33
298395,3503208,Q626247,Araraquara,SP,1005.75,866,4513
298532,3503307,Q580366,Araras,SP,642.36,275,705
298391,3503356,Q1750192,Arco-Íris,SP,264.81,4,17
298269,3503406,Q1647782,Arealva,SP,505.73,73,135
298125,3503505,Q1800701,Areias,SP,305.92,9,105
298221,3503604,Q1750214,Areiópolis,SP,86.05,18,74
298460,3503703,Q1750254,Ariranha,SP,132.79,37,108
298163,3503802,Q1754345,Artur Nogueira,SP,177.16,33,151
297934,3503901,Q1750250,Arujá,SP,96.6,182,356
298084,3503950,Q268193,Aspásia,SP,69.02,13,6
298317,3504008,Q742227,Assis,SP,453.23,425,702
298253,3504107,Q1637405,Atibaia,SP,478.52,608,1482
298185,3504206,Q268956,Auriflama,SP,434.08,40,89
298324,3504305,Q371734,Avaí,SP,538.98,57,213
298393,3504404,Q1646956,Avanhandava,SP,339.5,13,277
297963,3504503,Q782812,Avaré,SP,1244.85,182,689
298279,3504602,Q268782,Bady Bassitt,SP,108.09,48,132
298465,3504701,Q268906,Balbinos,SP,91.64,12,12
298297,3504800,Q1750436,Bálsamo,SP,150.34,49,55
298081,3504909,Q268774,Bananal,SP,616.82,26,57
298094,3505005,Q430127,Barão de Antonina,SP,153.66,6,1
298209,3505104,Q1795422,Barbosa,SP,205.09,10,280
298502,3505203,Q1759107,Bariri,SP,445.12,77,282
298357,3505302,Q1759461,Barra Bonita,SP,149.74,86,260
297996,3505351,Q1760579,Barra do Chapéu,SP,405.94,0,7
298368,3505401,Q1760650,Barra do Turvo,SP,1006.8,62,70
297907,3505500,Q1637488,Barretos,SP,1564.67,343,808
298127,3505609,Q1760074,Barrinha,SP,146.39,88,190
298021,3505708,Q461773,Barueri,SP,65.04,625,922
298423,3505807,Q971397,Bastos,SP,171.37,59,108
298266,3505906,Q650500,Batatais,SP,848.49,276,552
298315,3506003,Q241645,Bauru,SP,668.04,1044,1560
298041,3506102,Q1817181,Bebedouro,SP,681.92,452,449
298387,3506201,Q1750448,Bento de Abreu,SP,301.07,31,56
298318,3506300,Q920204,Bernardino de Campos,SP,243.67,43,309
297935,3506359,Q828319,Bertioga,SP,493.76,358,4794
298238,3506409,Q1648315,Bilac,SP,157.99,48,57
298335,3506508,Q963648,Birigui,SP,529.84,221,727
298405,3506607,Q518845,Biritiba-Mirim,SP,314.54,48,152
298320,3506706,Q268938,Boa Esperança do Sul,SP,690.86,131,573
298229,3506805,Q1759088,Bocaina,SP,363.46,82,231
298079,3506904,Q1749936,Bofete,SP,654.14,51,161
298000,3507001,Q1759350,Boituva,SP,247.17,136,305
297980,3507100,Q1760959,Bom Jesus dos Perdões,SP,107.96,93,125
298103,3507159,Q734464,Bom Sucesso de Itararé,SP,132.88,10,14
298358,3507209,Q568394,Borá,SP,118.6,1,20
298168,3507308,Q776912,Boracéia,SP,122.86,23,173
298062,3507407,Q978870,Borborema,SP,552.75,44,287
297923,3507456,Q544311,Borebi,SP,346.33,25,61
297987,3507506,Q1625598,Botucatu,SP,1671.19,587,1514
298179,3507605,Q897232,Bragança Paulista,SP,515.29,512,1219
298045,3507704,Q1222856,Braúna,SP,195.87,40,52
298031,3507753,Q1754561,Brejo Alegre,SP,104.91,10,134
298137,3507803,Q924792,Brodowski,SP,280.83,41,134
298359,3507902,Q1648408,Brotas,SP,1100.2,188,756
298489,3508009,Q1816107,Buri,SP,1193.33,54,573
297967,3508108,Q1750100,Buritama,SP,326.92,118,242
297961,3508207,Q764489,Buritizal,SP,266.67,39,133
298053,3508306,Q268806,Cabrália Paulista,SP,239.8,55,5
298426,3508405,Q1760058,Cabreúva,SP,260.51,153,425
298443,3508504,Q1759103,Caçapava,SP,372.04,201,698
298401,3508603,Q1760112,Cachoeira Paulista,SP,288.83,113,385
297947,3508702,Q983521,Caconde,SP,468.34,20,89
298341,3508801,Q1759688,Cafelândia,SP,920.58,60,230
298069,3508900,Q958717,Caiabu,SP,251.59,7,8
298176,3509007,Q1750069,Caieiras,SP,96.76,178,214
298538,3509106,Q769984,Caiuá,SP,553.12,70,230
298462,3509205,Q1760376,Cajamar,SP,131.16,200,272
298010,3509254,Q1760947,Cajati,SP,454.49,65,152
298414,3509304,Q1750207,Cajobi,SP,177.05,33,151
298232,3509403,Q1760370,Cajuru,SP,661.04,97,957
298294,3509452,Q1759806,Campina do Monte Alegre,SP,185.55,0,67
298227,3509502,Q171617,Campinas,SP,794.62,2948,6078
298214,3509601,Q1754452,Campo Limpo Paulista,SP,79.96,137,161
298038,3509700,Q851253,Campos do Jordão,SP,290.25,112,770
298218,3509809,Q1760953,Campos Novos Paulista,SP,484.02,16,157
