osm_rel_id,ibge_id,wikidata_id,name,uf,area_km2,roads_inside,points_inside
336740,1700251,Q1784836,Abreulândia,TO,1894.79,18,0
336780,1700301,Q1802133,Aguiarnópolis,TO,239.35,25,0
336857,1700350,Q1802116,Aliança do Tocantins,TO,1579.02,27,0
336768,1700400,Q22060165,Almas,TO,4017.39,2,0
336831,1700707,Q2102493,Alvorada,TO,1211.26,35,0
336748,1701002,Q1948373,Ananás,TO,1580.86,9,0
336775,1701051,Q2011594,Angico,TO,451.21,13,1
336847,1701101,Q1802077,Aparecida do Rio Negro,TO,1161.03,16,0
336875,1701309,Q1801778,Aragominas,TO,1175.95,0,0
336771,1701903,Q1801734,Araguacema,TO,2777.4,15,0
336846,1702000,Q593716,Araguaçu,TO,5168.3,10,0
336824,1702109,Q625279,Araguaína,TO,4001.34,77,1
336869,1702158,Q957649,Araguanã,TO,835.02,3,0
336850,1702208,Q1783966,Araguatins,TO,2629.51,18,1
336792,1702307,Q609102,Arapoema,TO,1552.63,6,0
336746,1702406,Q1801696,Arraias,TO,5798.74,37,0
336794,1702554,Q1801708,Augustinópolis,TO,395.04,18,1
336849,1702703,Q1801726,Aurora do Tocantins,TO,726.45,0,0
336864,1702901,Q1801670,Axixá do Tocantins,TO,149.66,2,0
336811,1703008,Q1801746,Babaçulândia,TO,1788.07,4,0
336789,1703057,Q2011614,Bandeirantes do Tocantins,TO,1541.37,5,0
336856,1703073,Q512635,Barra do Ouro,TO,1103.14,5,0
336844,1703107,Q1801737,Barrolândia,TO,711.61,9,0
336807,1703206,Q2011573,Bernardo Sayão,TO,927.41,4,0
336822,1703305,Q599288,Bom Jesus do Tocantins,TO,1331.63,1,0
336759,1703602,Q1801749,Brasilândia do Tocantins,TO,641.27,4,0
336833,1703701,Q1801741,Brejinho de Nazaré,TO,1725.71,3,0
336848,1703800,Q1801703,Buriti do Tocantins,TO,251.71,2,0
336825,1703826,Q2289907,Cachoeirinha,TO,352.19,3,0
336770,1703842,Q1801753,Campos Lindos,TO,3239.36,12,0
336752,1703867,Q1801690,Cariri do Tocantins,TO,1126.43,11,0
336755,1703883,Q1801654,Carmolândia,TO,338.71,1,0
336806,1703891,Q1801716,Carrasco Bonito,TO,193.74,0,0
336827,1703909,Q1801760,Caseara,TO,1689.65,7,0
336793,1704105,Q2116769,Centenário,TO,1955.15,0,0
336863,1704600,Q773264,Chapada de Areia,TO,659.53,0,0
336820,1705102,Q1801647,Chapada da Natividade,TO,1646.87,20,0
336843,1705508,Q1801758,Colinas do Tocantins,TO,843.55,22,2
336868,1705557,Q746335,Combinado,TO,209.06,5,0
336816,1705607,Q1801713,Conceição do Tocantins,TO,2518.25,14,0
336873,1706001,Q672837,Couto Magalhães,TO,1587.12,30,1
336866,1706100,Q1798698,Cristalândia,TO,1850.01,14,0
336814,1706258,Q1801175,Crixás do Tocantins,TO,986.47,2,0
336872,1706506,Q1801100,Darcinópolis,TO,1641.22,13,0
336871,1707009,Q1801150,Dianópolis,TO,3218.76,27,2
336784,1707108,Q649398,Divinópolis do Tocantins,TO,2347.57,0,0
336865,1707207,Q967767,Dois Irmãos do Tocantins,TO,3758.62,9,0
336867,1707306,Q1800970,Dueré,TO,3424.71,10,0
336773,1707405,Q977277,Esperantina,TO,504.71,1,0
336754,1707553,Q2196935,Fátima,TO,383.42,6,0
336782,1707652,Q1801233,Figueirópolis,TO,1930.34,0,0
336826,1707702,Q690299,Filadélfia,TO,1988.56,0,0
336772,1708205,Q1801246,Formoso do Araguaia,TO,13430.29,62,1
336795,1708254,Q1801070,Fortaleza do Tabocão,TO,621.11,0,0
336870,1708304,Q1801208,Goianorte,TO,1799.33,4,0
336829,1709005,Q1801197,Goiatins,TO,6413.94,7,0
336791,1709302,Q1801179,Guaraí,TO,2266.26,50,1
336840,1709500,Q1784265,Gurupi,TO,1837.05,117,2
336815,1709807,Q946408,Ipueiras,TO,813.9,0,0
336860,1710508,Q535056,Itacajá,TO,3044.51,1,0
336832,1710706,Q1801108,Itaguatins,TO,740.86,2,0
336785,1710904,Q1800939,Itapiratins,TO,1243.66,0,0
336743,1711100,Q770338,Itaporã do Tocantins,TO,973.21,3,0
336812,1711506,Q1801212,Jaú do Tocantins,TO,2173.13,35,0
336738,1711803,Q374444,Juarina,TO,480.95,0,0
336766,1711902,Q1801577,Lagoa da Confusão,TO,10564.28,51,0
336787,1711951,Q1801591,Lagoa do Tocantins,TO,911.43,0,0
336741,1712009,Q2085548,Lajeado,TO,326.18,9,0
336758,1712157,Q1801192,Lavandeira,TO,509.29,1,0
336845,1712405,Q1786619,Lizarda,TO,5727.56,0,0
336783,1712454,Q1801642,Luzinópolis,TO,279.8,6,0
336858,1712504,Q1801628,Marianópolis do Tocantins,TO,2092.14,23,0
336781,1712702,Q1801064,Mateiros,TO,9680.11,3,0
336760,1712801,Q1801042,Maurilândia do Tocantins,TO,736.1,0,0
336828,1713205,Q993530,Miracema do Tocantins,TO,2647.44,36,1
336750,1713304,Q1800924,Miranorte,TO,1031.66,42,0
336861,1713601,Q1801517,Monte do Carmo,TO,3615.16,14,0
336874,1713700,Q2011582,Monte Santo do Tocantins,TO,1092.43,1,0
336749,1713809,Q1801156,Palmeiras do Tocantins,TO,746.73,23,1
336790,1713957,Q1801142,Muricilândia,TO,1188.82,0,0
336838,1714203,Q1801567,Natividade,TO,3236.64,35,0
336855,1714302,Q2289927,Nazaré,TO,394.9,9,0
336751,1714880,Q2079727,Nova Olinda,TO,1565.85,10,0
336796,1715002,Q1801604,Nova Rosalândia,TO,517.23,14,1
336852,1715101,Q1801572,Novo Acordo,TO,2677.01,11,0
336851,1715150,Q1801587,Novo Alegre,TO,200.34,1,0
336739,1715259,Q1801252,Novo Jardim,TO,1307.51,14,0
336817,1715507,Q1801609,Oliveira de Fátima,TO,206.8,16,0
336802,1715705,Q523587,Palmeirante,TO,2636.92,14,0
336834,1715754,Q1801038,Palmeirópolis,TO,1707.54,23,0
336859,1716109,Q978148,Paraíso do Tocantins,TO,1268.77,93,3
336839,1716208,Q1801570,Paranã,TO,11226.76,48,0
336797,1716307,Q2085357,Pau D'Arco,TO,1378.51,4,0
336737,1716505,Q1801535,Pedro Afonso,TO,2012.59,13,0
336736,1716604,Q654261,Peixe,TO,5292.64,35,0
336756,1716653,Q1801219,Pequizeiro,TO,1208.75,2,0
336757,1716703,Q1801662,Colméia,TO,991.55,10,0
336841,1717008,Q1800896,Pindorama do Tocantins,TO,1556.92,2,0
336813,1717206,Q962028,Piraquê,TO,1367.82,14,0
336786,1717503,Q1800961,Pium,TO,9978.85,20,0
336842,1717800,Q1800881,Ponte Alta do Bom Jesus,TO,1803.91,8,0
336830,1717909,Q1801637,Ponte Alta do Tocantins,TO,6490.87,5,0
336810,1718006,Q677566,Porto Alegre do Tocantins,TO,501.77,6,0
336788,1718204,Q1784315,Porto Nacional,TO,4451.2,141,1
336779,1718303,Q1801132,Praia Norte,TO,290.49,0,0
336747,1718402,Q2085534,Presidente Kennedy,TO,770.58,5,0
336745,1718451,Q1801581,Pugmil,TO,402.47,16,0
336742,1718501,Q1801075,Recursolândia,TO,2214.58,0,0
336753,1718550,Q2197944,Riachinho,TO,518.54,3,0
336823,1718659,Q1801085,Rio da Conceição,TO,785.53,5,0
336821,1718709,Q580856,Rio dos Bois,TO,843.83,6,0
336836,1718758,Q1801199,Rio Sono,TO,6349.49,3,0
336835,1718808,Q1801137,Sampaio,TO,222.76,9,0
336837,1718840,Q1801094,Sandolândia,TO,3528.82,32,0
336862,1718865,Q991120,Santa Fé do Araguaia,TO,1677.29,0,0
336854,1718881,Q522587,Santa Maria do Tocantins,TO,1412.55,1,0
336853,1718899,Q1801241,Santa Rita do Tocantins,TO,3275.21,2,0
336744,1718907,Q1801204,Santa Rosa do Tocantins,TO,1800.48,8,0
336774,1719004,Q1801050,Santa Tereza do Tocantins,TO,542.05,13,0
336776,1720002,Q929170,Santa Terezinha do Tocantins,TO,269.2,1,0
336778,1720101,Q1801161,São Bento do Tocantins,TO,1107.09,19,0
336777,1720150,Q1801186,São Félix do Tocantins,TO,1908.52,0,0
336761,1720200,Q1800932,São Miguel do Tocantins,TO,397.67,2,0
336762,1720259,Q1800952,São Salvador do Tocantins,TO,1426.04,10,0
336763,1720309,Q1801056,São Sebastião do Tocantins,TO,287,0,0
336764,1720499,Q1801542,São Valério,TO,2518.13,0,1
336765,1720655,Q1801168,Silvanópolis,TO,1261.29,13,0
336767,1720804,Q1801080,Sítio Novo do Tocantins,TO,324.85,15,0
336769,1720853,Q2011603,Sucupira,TO,1026.67,5,0
336803,1720903,Q2078623,Taguatinga,TO,2425.21,18,0
336804,1720937,Q1800947,Taipas do Tocantins,TO,1114.23,5,0
336805,1720978,Q1801633,Talismã,TO,2156.63,6,0
336798,1721000,Q178993,Palmas,TO,2215.46,308,331
336799,1721109,Q1801598,Tocantínia,TO,2605.03,12,0
336800,1721208,Q587927,Tocantinópolis,TO,1079.32,19,1
336801,1721257,Q1801526,Tupirama,TO,710.16,8,0
336808,1721307,Q1801621,Tupiratins,TO,894.57,2,0
336809,1722081,Q1798710,Wanderlândia,TO,1374.26,16,0
336818,1722107,Q635920,Xambioá,TO,1185.83,24,0
