rota_ref,lexname
BR-010,rodovia.belem.brasilia
BR-010,rodovia.bernardo.sayao
BR-010,rodovia.transamazonica
BR-020,rodovia.br.020
BR-020,rodovia.brasilia
BR-020,rodovia.eneas.maia.nelo
BR-020,rodovia.luiz.carlos.prestes
BR-020,rodovia.milton.santos
BR-020,rodovia.presidente.juscelino.kubitscheck
BR-020,rodovia.presidente.juscelino.kubitschek
BR-030,rodovia.presidente.juscelino.kubitschek
BR-040,estrada.parque.industria.abastecimento
BR-040,rodovia.br.040
BR-040,rodovia.juscelino.kubitschek
BR-040,rodovia.presidente.juscelino.kubitschek
BR-040,rodovia.washington.luiz
BR-050,estrada.parque.industria.abastecimento
BR-050,rodovia.anchieta
BR-050,rodovia.anhanguera
BR-050,rodovia.br.050
BR-050,rodovia.chico.xavier
BR-050,rodovia.juscelino.kubitschek
BR-050,rodovia.presidente.juscelino.kubitschek
BR-060,estrada.parque.nucleo.bandeirante
BR-060,estrada.parque.nucleo.bandeirante.df.075
BR-060,rodovia.br.060
BR-060,rodovia.transbrasilania
BR-060,rodovia.transbrasiliana
BR-070,estrada.parque.ceilandia
BR-070,rodovia.imigrantes
BR-101,estrada.batalha
BR-101,rodovia.br
BR-101,rodovia.conego.domenico.rangoni
BR-101,rodovia.doutor.manoel.hipolito.rego
BR-101,rodovia.doutor.manoel.hippollyto.rego
BR-101,rodovia.doutor.manoel.hyppolito.rego
BR-101,rodovia.doutor.manuel.hipolito.rego
BR-101,rodovia.governador.antonio.mariz
BR-101,rodovia.governador.mario.covas
BR-101,rodovia.ivo.zanella
BR-101,rodovia.manoel.hipolito.rego
BR-101,rodovia.niteroi.manilha
BR-101,rodovia.osvaldo.aranha
BR-101,rodovia.padre.manoel.nobrega
BR-101,rodovia.padre.manuel.nobrega
BR-101,rodovia.rio.santos
BR-104,rodovia.governador.mario.covas
BR-110,rodovia.br.110
BR-116,rodovia.estrada.guarani
BR-116,rodovia.general.bento.goncalves
BR-116,rodovia.osvaldo.aranha
BR-116,rodovia.presidente.dutra
BR-116,rodovia.presidente.getulio.vargas
BR-116,rodovia.regis.bittencourt
BR-116,rodovia.rio.mage
BR-116,rodovia.rio.teresopolis
BR-116,rodovia.salvador.leone
BR-116,rodovia.santos.dummont
BR-116,rodovia.santos.dumont
BR-116,rodovia.teresopolis
BR-116,rodovia.washington.luiz
BR-120,rodovia.antonio.lisboa.guerra.neto
BR-120,rodovia.br.120
BR-120,rodovia.br.120.br.356
BR-120,rodovia.br.120.mg.447
BR-120,rodovia.deputado.luis.soares.rocha
BR-120,rodovia.dorval.oliveira
